cluster,size,keywords,top_module,module_purity,modules,record_types,documents,largest_doc_share,cohesion,example
119,41,"processo, recurso, relatório, filtro, coluna, agrupamento",CFAB,0.42,CFAB:13 MPSP:11 PEDI:5 CEXC:1,pedido:39 email:1 documentacao:1,23,0.12,0.952,Relatório Posição Produção por Processo (MPSP63) — Manufatura Chão de Fabrica Relatórios de Produção
120,118,"cartão, emissão, componente, fábrica relatórios, relatórios produção, ordem fabricação",CFAB,0.78,CFAB:28 MPSP:3 COMP:2 EPRO:1,pedido:108 documentacao:5 email:5,39,0.25,0.94,CFAB122 — EMISSÃO CARTÃO COMPONENTE - CFAB17 - REPORT CFAB122 - VERIFICAR O MOTIVO DE ESTAR…
121,38,"ivendre, fotos, ios, imagens, nuvem, clicar",ADMI,1.0,ADMI:1,documentacao:24 email:8 pedido:6,14,0.16,0.943,"Administração Cadastros Parâmetros (ADMI8) — manual ivendre funcionalidades, representante será direcionado, menos uma vez"
122,72,"abastecimento, ofs, materiais, qtde, necessidade, quantidade",ESTO,0.8,ESTO:41 CFAB:3 MPSP:3 EPRO:2,pedido:60 email:8 documentacao:4,28,0.22,0.946,Materiais e Controle de Ordem de Fabricação (ESTO112) — PLANO ABASTECIMENTO MATERIAIS E CONTROLE DE ORDEM DE FABRICAÇÃO: CRIAR UM BOTÃO DE…
123,95,"distribuição pedidos, entrega, vendas distribuição, cancelamento, rotina vendas, venda alteração",PEDI,0.87,PEDI:73 VEND:8 MPSP:1 CPAG:1,pedido:90 email:3 documentacao:2,32,0.22,0.939,"Pedido de Compras (PEDI3) — ativar a entrega, possível marcar, apenas um rótulo"
124,24,"distribuição pedidos, markup, pedidos venda, vendas, combo venda, venda alteração",PEDI,0.6,PEDI:12 VEND:6 EPRO:1 ADMI:1,pedido:24,11,0.33,0.944,"Categorias de Pedido (PEDI2) — venda validação mínimo, entrega está desconsiderando, distribuição pedidos alteração"
125,29,"representante, entrega, preços, pronta, vendedor, estoque futuro",,,,documentacao:21 pedido:8,6,0.66,0.951,Administração Cadastros Parâmetros (ADMI8) — Produtos não estão sendo exibidos no B2B após configurações efetuadas
126,22,"desconto, comissão, regra, preços, acumulador, representante",PEDI,0.67,PEDI:2 VEND:1,pedido:10 documentacao:10 email:2,9,0.27,0.951,Pedido de Venda (PEDI1) — PEDIDO DE VENDA: TRATAR OS DESENVOLVIMENTOS REALIZADOS NA LISTA DE PREÇOS/REGRAS DE…
127,28,"eficiência, eficiencia, recurso, minutos, turno, perdidos",PREC,0.89,PREC:8 CFAB:1,email:10 documentacao:9 pedido:9,10,0.32,0.939,"Calendário (MPSP1) — EFICIENCIA: NÃO CONSIDERAR AS ""RESTRIÇÕES"" NO CALCULO DA EFICIENCIA E PRODUTIVIDADE"
128,34,"crédito, risco, analise, liberação, credito, classe",VEND,0.82,VEND:18 PEDI:3 CPAG:1,pedido:22 documentacao:7 email:5,13,0.26,0.944,"Relatório Carteira de Pedidos (VEND35) — Relatorio Carteira de Pedidos Boa tarde,"
129,32,"entrada, chave, nfs, smart, manualmente, motivo",FATU,0.93,FATU:14 ADMI:1,documentacao:20 email:9 pedido:3,12,0.25,0.936,"Pessoas Físicas/Jurídicas (ADMI34) — vista em visita, ismael para identificar, importação de material"
130,40,"schneider, marcio, reni, aline, kunden, caligiuri santos",FATU,0.94,FATU:15 EPRO:1,documentacao:26 email:11 pedido:3,15,0.28,0.937,"Monitor Notas Fiscais Saída (FATU61) — Mensagem ocorrida em 161220, para GS"
131,61,"ivendre, ios, valor mínimo, proposta, mínimo data, entrega",PEDI,0.6,PEDI:3 EPRO:1 ADMI:1,pedido:60 documentacao:1,9,0.52,0.937,IVENDRE B2B E IVENDRE IOS - ALTERAÇÕES PARA NOVA FORMA DE TRATAR A EMPRESA NAS…
132,58,"android, app, ivendre, aprovação, redução preço, frigolaste",PEDI,0.5,PEDI:2 ADMI:2,pedido:56 documentacao:1 email:1,8,0.83,0.944,"IVENDRE - APP ANDROID: PASSAR A CONSIDERAR O CAMPO ""MAX. REDUÇÃO PREÇO"" DA LISTA DE…"
133,44,"planejamento, minutos, recurso, data, hora, dia",MPSP,0.9,MPSP:35 PREC:3 CFAB:1,pedido:33 documentacao:6 email:4 teste:1,10,0.75,0.941,"Planejamento (MPSP2) — atualização do planejamento, colisão, atualmente de criar"
134,15,"encaixotamento liberação, talões, faturamento, encaixotados, lidos aplicação, aplicação encaixotamento",CFAB,0.67,CFAB:2 PEDI:1,pedido:10 documentacao:5,9,0.27,0.951,"Relatório Posição Plano de Produção (CFAB24) — liberação pedidos faturamento, situação dos planos, sistema nas filiais"
135,152,"remessa, industrialização, retorno, terceirização, mão, obra",RECE,0.26,RECE:16 ESTO:14 TERC:11 COMP:9,documentacao:71 pedido:60 email:19 teste:2,60,0.16,0.936,"CFAB11 — produção dos planos, operação de mão, sistema gerará"
136,89,"abastecimento, suprimentos planejamento, materiais, requisição, planejamento necessidade, mrp",ESTO,0.96,ESTO:65 COMP:2 CFAB:1,pedido:85 email:3 documentacao:1,20,0.29,0.949,Remessa Industrialização (ESTO25) — PLANO ABASTECIMENTO MATERIAIS - REQUISIÇÃO (MRP) - ESTO25 - PROBLEMA EM REQUISIÇÃO
137,18,"centro custo, requisição, baixa, necessidades, recurso, requisições",ESTO,1.0,ESTO:7,pedido:14 documentacao:3 email:1,5,0.39,0.956,Remessa Industrialização (ESTO25) — PLANO ABASTECIMENTO MATERIAIS - REQUISIÇÃO: POSSIBILITAR AO USUÁRIO PREENCHER/VINCULAR UM…
138,16,"plano mestre, mestre produção, planejamento, manufatura plano, forecast, processo produtivo",MPSP,1.0,MPSP:11,pedido:14 documentacao:2,5,0.5,0.949,"Estruturação de Produto (EPRO15) — plano de projeção, tomar como base, necessidades no mrp"
139,65,"mestre produção, plano mestre, manufatura plano, produção mps, mps plano, produção plano",MPSP,0.94,MPSP:47 CFAB:2 EPRO:1,pedido:63 documentacao:1 email:1,11,0.31,0.95,"Geração e Abast (MPSP46) — geração e abastecimento, mestre de produção, trazer a sequencia"
140,31,"plano mestre, mestre produção, relatório plano, produção relatórios, plano produto, produção plano",MPSP,0.93,MPSP:26 CFAB:1 CEXC:1,pedido:30 documentacao:1,11,0.39,0.959,MPSP74 + MPSP75 — RELATÓRIO PLANO MESTRE DE PRODUÇÃO: CRIAR NOVA VERSÃO DE RELATÓRIO Rotina
141,18,"retorno, industrialização deposito, depósito, faturamento notas, deposito disponivel, disponível",FATU,0.94,FATU:17 RECE:1,pedido:18,6,0.56,0.956,Disponível (FATU110) — RETORNO DE INDUSTRIALIZAÇÃO DEPOSITO DISPONÍVEL: PASSAR A SUGERIR A QUANTIDADE DE RETORNO…
142,21,"retorno remessa, recebimento, industrialização, fiscais retorno, operação, operações",RECE,0.89,RECE:17 FATU:1 COMP:1,pedido:20 documentacao:1,7,0.52,0.953,"Recebimentos (RECE32) — PROGRAMA ""RETORNOS DE REMESSA-RECE7"": PASSAR A SUGERIR AS OPERAÇÕES PARA OS ITENS DA…"
143,49,"monitor, danfe, fiscais, notas, eletrônica, distribuição faturamento",FATU,0.92,FATU:35 EPRO:1 PEDI:1 ADMI:1,pedido:44 email:4 documentacao:1,8,0.61,0.942,Monitor Notas Fiscais Saída (FATU61) — MONITOR NOTAS FISCAIS ELETRONICA - VERIFICAR POR QUE DADOS ADICIONAIS CONFIGURADOS NO…
144,17,"sefaz, receita, nfs, rejeicao, vai, cancelar",FATU,1.0,FATU:14,documentacao:16 email:1,4,0.35,0.944,"Monitor Notas Fiscais Saída (FATU61) — Caso na Smart em 180621, visto junto com Aline"
145,18,"desconto, valor, liquido, unitário, faturamento, parcela",PEDI,0.64,PEDI:9 ADMI:3 VEND:2,pedido:18,8,0.22,0.956,Nota Fiscal de Saída (FATU2) — LIBERAÇÃO PEDIDOS VENDA FATURAMENTO - IDENTIFICAR MOTIVO DE ESTAR SENDO LEVADO DESCONTO
146,53,"fiscais, notas, fiscal saída, distribuição faturamento, nota fiscal, pis cofins",FATU,0.6,FATU:18 EPRO:3 ADMI:3 VEND:2,pedido:51 documentacao:1 email:1,24,0.32,0.942,"regra de tributação, nota para melhorar, coluna ao item"
147,21,"recebimento notas, fiscal entrada, suprimentos recebimento, nota fiscal, fiscais nota, entrada alteração",FATU,0.67,FATU:4 RECE:1 ADMI:1,pedido:21,7,0.52,0.952,"Notas Fiscais de Entrada (FATU3) — Corrigir rotina quando alterado a data no FATU3, os programas de lançamento e fiscais…"
148,32,"importação notas, xml, fiscais importação, suprimentos recebimento, notas fiscais, recebimento notas",FATU,0.85,FATU:22 COMP:2 ADMI:2,pedido:31 documentacao:1,9,0.5,0.949,CFOP ATRIBUÍDA ESTÁ INCORRETA Rotina (FATU124) — IMPORTAÇÃO DE NOTAS FISCAIS DE ENTRADA POR XML - FATU124 - SISTEMA ESTA VINCULANDO CÓDIGO…
149,34,"faturamento, liberação, estabelecimento, pedidos, venda, fiscais",PEDI,0.95,PEDI:21 ADMI:1,pedido:21 documentacao:11 email:2,8,0.29,0.946,"Liberação Pedidos Faturamento (PEDI44) — campos: Estab Faturamento, Situação, Liberação"
150,61,"faturamento, rota, liberação pedidos, fiscais liberação, distribuição, notas fiscais",FATU,0.84,FATU:46 PEDI:5 RECE:2 CFAB:1,pedido:59 documentacao:2,15,0.57,0.95,Liberação Pedidos Faturamento por Rota (FATU153) — LIBERAÇÃO PEDIDOS FATURAMENTO POR ROTA - FATU153 - ADICIONAR A CATEGORIA DO PEDIDO DE…
