cluster,size,keywords,top_module,module_purity,modules,record_types,documents,largest_doc_share,cohesion,example
37,19,"grade, variação, tamanhos, largura, variações, estavam",MPSP,0.53,MPSP:9 EPRO:7 COMP:1,pedido:14 documentacao:3 email:2,7,0.47,0.946,"Estruturação de Produto (EPRO15) — Não existe variação de grade entre grade ""GRADE 34 AO 43"" e grade ""GRADE 34 AO 44"" na…"
38,17,"assunto alteração, alteração ficha, material, ficha tecnica, debrum, mail assunto",EPRO,0.8,EPRO:8 PEDI:1 COMP:1,email:17,6,0.41,0.941,"alteração ficha tecnica - 104401 Boa tarde, Danieli,"
39,57,"pegada, patchs, frigolaste, xxxxx padrão, abertos, power",ESTO,0.22,ESTO:6 FATU:5 PEDI:4 COMP:3,pedido:50 documentacao:7,48,0.05,0.962,Pedido de Compras (COMP3) — PEDIDOS DE
40,19,"aplicar regra, venda documentação, estrutura comercial, produtos sku, intelligence, business",PEDI,0.29,PEDI:2 EPRO:1 VEND:1 COMP:1,pedido:19,13,0.26,0.949,APLICAR REGRA DE AJUSTE DE PREÇO NO ITEM DO PEDIDO DE VENDA Documentação
41,41,"lote, balanceado, quantidade, cálculo, tamanho, máximo",MPSP,0.74,MPSP:29 EPRO:8 FATU:1 COMP:1,pedido:40 documentacao:1,8,0.61,0.949,"Estruturação de Produto (EPRO15) — PROGRAMAS ""ESTRUTURAÇÃO DE PRODUTO-EPRO15"" E ""PLANO DE PRODUÇÃO-MPSP5"": CRIAR NOVA OPÇÃO…"
42,88,"conjunto, marca, embalagem, cor, produto acabado, material",EPRO,0.9,EPRO:52 PEDI:6,email:37 pedido:26 documentacao:25,11,0.53,0.938,"Estruturação de Produto (EPRO15) — conjunto pai, rotina do ivendre, tempo de desenvolvimento"
43,41,"materiais, material, componente, estruturação, alternativos, especificação",EPRO,0.88,EPRO:29 PEDI:2 CFAB:1 ADMI:1,pedido:34 documentacao:5 email:2,15,0.46,0.944,Estruturação de Produto (EPRO15) — ESTRUTURAÇÃO DE PRODUTO: INCLUIR NA PASTA LISTA DE MATERIAIS COM CAMPOS NECESSÁRIOS PARA…
44,59,"engenharia, estruturação produto, desenvolvimento produto, coleção, sub, manufatura",EPRO,0.98,EPRO:48 MPSP:1,pedido:58 email:1,17,0.41,0.94,Estruturação de Produto (EPRO15) — ESTRUTURAÇÃO DE PRODUTO - EPRO15 - AO INSERIR UM MATERIAL NA ENGENHARIA APARECE UMA…
45,21,"embarque, controle, rótulos, minuta, deve, nota",FATU,1.0,FATU:1,documentacao:13 pedido:8,6,0.48,0.95,FATU92 — Campos do apontamento de rótulos
46,36,"armazenagem, local, locais, lote, leitura, controle",ESTO,1.0,ESTO:1,pedido:22 documentacao:11 email:3,11,0.36,0.944,"Consulta Local de Armazenagem (ESTO97) — local de armazenagem, mostrar data hora, tipo controle"
47,15,"rentabilidade, inicialização, venda, relatório exibição, definir exibe, parâmetro",PEDI,0.67,PEDI:8 VEND:2 COMP:2,pedido:14 documentacao:1,9,0.2,0.95,Pedido de Venda (PEDI1) — PEDIDO DE VENDA - NOVO LAYOUT DE IMPRESSÃO DO PEDIDO DE VENDA Rotina
48,16,"produtos fabricação, geração produtos, fabricação quando, custeio, elaboração, produto fabricação",ESTO,1.0,ESTO:12,email:9 documentacao:5 pedido:2,4,0.75,0.945,"Geração Registro Produtos em Fabricação (ESTO41) — produtos em fabricação, sistema vai agregando, materiais foram abastecidos"
49,21,"etiqueta, embalagem, painel, impressa, peso, web",EPRO,1.0,EPRO:3,pedido:21,6,0.62,0.947,"campos: Frigorífico, Observação de Embarque, Dados Gerais, Descrição Técnica"
50,17,"custeio, couro, produto pronto, contábil, cesar, relação",ESTO,0.5,ESTO:1 CUST:1,email:10 documentacao:6 pedido:1,6,0.53,0.94,rotina de Apontamento de Multiplos Produtos para a mesma OF Bom dia pessoal
51,32,"medidora, barras, está lendo, pruebas adoc, assunto pruebas, adoc etiquetas",FATU,0.81,FATU:13 PEDI:2 MIND:1,email:29 pedido:2 documentacao:1,9,0.41,0.935,"Medidora (FATU149) — Na BD Pruebas Adoc, Etiquetas da Medidora: não está lendo os seguintes códigos de barras"
52,37,"custeio, custo, mês, tarifas, standard, recalculo",CFAB,0.57,CFAB:4 EPRO:2 CUST:1,documentacao:18 pedido:15 email:4,13,0.49,0.948,"inventário do mês, estabelecer as tarifas, custos no estoque"
53,42,"painel, web, frigolaste, embalagem, expedição, etiqueta",,,,pedido:40 documentacao:2,12,0.38,0.946,VERIFICAR MOTIVO DE ERRO AO TENTAR CONFIRMAR APONTAMENTO EM PAINEL
54,28,"painel embalagem, embalagem web, web painel, primevo painel, documentação web, rotina web",,,,pedido:28,1,1.0,0.949,PAINEL DE EMBALAGEM - WEB - NÃO ESTÁ TRAZENDO A QUANTIDADE EM UM Rotina
55,19,"painel, web, abate, atualização google, google chrome, ajustado problema",,,,pedido:19,5,0.42,0.944,PAINEL DE ABATE - WEB - NÃO ESTÁ LEVANDO TODOS OS ABASTECIMENTOS REALIZADOS PARA O PLANO…
56,32,"fpv, temporada, custo, serigrafia, assunto, juros",VEND,1.0,VEND:2,email:22 documentacao:8 pedido:2,6,0.69,0.935,"FPV, “Cotação por Temporada”"
57,37,"calculo, fpv, tarifas, ggf, custo, calcular",,,,documentacao:31 pedido:3 email:3,8,0.43,0.943,"cotação base, ciclo financeiro, novo calculo"
58,102,"preço venda, cálculo, fpv, formação, vendas distribuição, venda alteração",FVEN,0.54,FVEN:7 EPRO:4 COMP:2,pedido:95 documentacao:4 email:3,13,0.6,0.941,Cálculo Preço de Venda (FVEN5) — FVEN5 - PROGRAMA ESTA APRESENTANDO ERROS APÓS SER ATUALIZADO E TER CÁLCULOS GERADOS…
59,19,"romaneio, saída, faturamento, alterar qtdes, qtdes descritivos, peso",FATU,0.87,FATU:13 PEDI:2,pedido:14 email:4 documentacao:1,9,0.26,0.949,"Nota Fiscal de Saída (FATU2) — LIBERAÇÃO FATURAMENTO ROMANEIO: ABRIR O PROGRAMA FATU2_PERU, PERMITIR ALTERAR QTDES E…"
60,16,"grafdil, pessoa, franquia, representante, grupo, clientes",ADMI,0.88,ADMI:7 VEND:1,documentacao:9 pedido:5 email:2,7,0.38,0.944,"Pessoas Físicas/Jurídicas (ADMI34) — vinculado ao usuário, pessoa grupo, clientes vinculados"
61,16,"relatório plano, plano mestre, mestre produção, plano produto, produção modelo, produção plano",MPSP,0.93,MPSP:14 EPRO:1,documentacao:16,16,0.06,0.964,"MPSP74 + MPSP75 — plano e produto, mestre de produção"
62,27,"carta correção, mail assunto, nfs, gerar carta, preciso resolver, procura preciso",FATU,0.83,FATU:10 COMP:1 ADMI:1,email:22 documentacao:5,12,0.26,0.936,"FATU239 — Vocês tem alguma validação para esta situação, envolvendo NF de Entrada gerada pelo…"
63,21,"preço, ecommerce, precisa habilitar, líquido precisa, mostrar usar, preferências assim",PEDI,0.5,PEDI:4 COMP:2 EPRO:1 ADMI:1,email:11 documentacao:10,15,0.14,0.938,Pedido de Venda (PEDI1) — Sobre isso em destaque abaixo
64,15,"lote mínimo, mínimo compra, qtde, compras, compra cotação, dias",COMP,0.71,COMP:10 EPRO:2 PEDI:2,documentacao:11 email:4,9,0.33,0.946,"Cotação (COMP14) — lote mínimo compra, qtde é baseada, compras com base"
65,19,"ora, consolidar, bolsas operaciones, assunto problema, equipo, fue",MPSP,0.5,MPSP:5 EPRO:3 ESTO:1 CUST:1,documentacao:11 email:8,6,0.42,0.936,Problema al consolidar Bolsas Operaciones
66,23,"link, http, kunden senha, usuário kunden, ords, apex usuário",FATU,0.5,FATU:1 PREC:1,documentacao:18 email:4 teste:1,16,0.26,0.95,Link na BD Teste Pegada (em 100922)
67,29,"etiqueta, emissão, unidade produto, impressão, par, distribuição pedidos",PEDI,0.96,PEDI:22 CFAB:1,pedido:24 email:3 documentacao:2,6,0.72,0.941,PEDI142 + Emissão de Etiqueta por Unidade de Produto (PEDI7) — PROGRAMA EMISSÃO DE ETIQUETA POR UNIDADE DE PRODUTO ¿ PEDI7: CRIAR NOVA VERSÃO DE…
68,16,"ora, into kunden, null into, insert null, cannot insert, erro",EPRO,0.17,EPRO:1 RECE:1 FATU:1 CPRO:1,documentacao:8 pedido:6 email:2,13,0.19,0.938,Estruturação de Produto (EPRO15) — Situação na Implantação do Ponto Reposição
69,47,"select, tabela, empresa, código, mrp, registros",ADMI,0.32,ADMI:10 COMP:5 CFAB:4 ESTO:4,documentacao:27 email:19 teste:1,25,0.09,0.93,BUSCA_PEDIDOS_SEM_PLANO_E_SEM_CARTEIRA.sql Oi Márcio
70,26,"rotulo, ler, caixa, impressão, etiquetas, barras",FATU,0.67,FATU:2 CFAB:1,documentacao:15 email:9 pedido:2,10,0.54,0.947,"Consulta Etiqueta Unidade Produto (CFAB56) — bat para impressão, arquivo e imprime, num rotulo"
71,21,"impressora, navegador, impressão, etiqueta, atalho, imprimir",PEDI,0.83,PEDI:5 FATU:1,documentacao:9 email:9 pedido:3,12,0.24,0.939,"verde da aplicação, tempo atras qdo, suponhamos do abate"
72,323,"ocorrida, sobre, situação, avaliação, implantação, aqui",ESTO,0.2,ESTO:27 FATU:21 MPSP:20 EPRO:15,documentacao:308 pedido:10 teste:5,170,0.05,0.951,"Planejamento (MPSP2) — apontada a produção, datas de planejamento, previsto"
73,109,"relatório, fiscal, gera nota, importação, resumo produção, fiscais",CFAB,0.19,CFAB:19 FATU:15 PEDI:14 ESTO:12,documentacao:109,109,0.01,0.954,Relatório Resumo Produção por Processo (CFAB142) — relatório resumo produção
74,21,"controle acesso, aplicar ajuste, aplicação participará, porém continuará, acesso porém, sendo acessada",CFAB,0.5,CFAB:2 FATU:1 PEDI:1,pedido:18 documentacao:3,6,0.24,0.961,"realizar a configuração, setor de desenvolvimento, entorno"
75,30,"topificação utilizar, utilizar modelo, modelo topificação, objetivo, patch, solicitações",,,,documentacao:27 pedido:3,21,0.07,0.947,"histórico de comissão, corrigir a questão, calculada nos documentos"
76,41,"rotativo inventario, liberar estoque, relatório posição, frigorificos, estoque futuro, controle rotativo",EPRO,0.2,EPRO:2 ESTO:2 MPSP:2 PEDI:2,documentacao:39 pedido:2,40,0.05,0.945,"relatório lote produção, produzir"
77,31,"conciliação estoque, ordens fabricação, relatório, faturamento rotulos, marcar venda, estoque contábil",ESTO,0.29,ESTO:8 PEDI:4 FATU:3 CFAB:3,documentacao:31,31,0.03,0.955,"Relatório Plano Abastecimento Materiais (ESTO113) — relatório plano abastecimento, materiais"
78,41,"plano produção, entrega, planos, compras, venda, produção agrupado",MPSP,0.35,MPSP:11 COMP:10 PEDI:7 CFAB:1,pedido:21 documentacao:15 email:5,22,0.2,0.944,"Plano de Produção (MPSP5) — Verificar no cliente a geração do plano, pois o sistema está exigindo que o processo do…"
79,49,"email, envio, configuração, enviar, mails, enviado",COMP,0.64,COMP:7 PEDI:3 ADMI:1,pedido:23 documentacao:17 email:8 teste:1,16,0.27,0.939,"ADMI122 — campos: Conta de E-mail, Destinatários Complementares), Texto Complementar) Depois"
80,379,"assunto, mail, marcio, abaixo, sobre, favor",FATU,0.16,FATU:25 EPRO:20 ESTO:18 ADMI:17,email:223 documentacao:135 pedido:20 teste:1,173,0.05,0.928,Relatório Faturamento (FATU34) — Relatório de faturamento Boa tarde Márcio
81,27,"descritivos técnicos, doc, relatório emissões, utilização descritivos, técnicos vinculado, curtume",EPRO,0.42,EPRO:5 ESTO:2 CFAB:1 FATU:1,documentacao:25 pedido:2,25,0.07,0.939,Programas (ADMI6) — Exemplo de utilização do programa Descritivos Técnicos – EPRO54
82,17,"inspeção, amostragem, cep, aprovação, grupo, coluna",,,,pedido:16 documentacao:1,3,0.65,0.946,"CEP: DESENVOLVER EM WEB ENTRADA DE DADOS DE CEP, CONFORME CONFIGURAÇÕES ESTABELECIDAS POR"
83,28,"cep, lançamento, controle indicador, eventos, apontamento, estoque",CPRO,0.93,CPRO:13 CFAB:1,pedido:15 documentacao:8 email:5,14,0.36,0.945,LANÇAMENTOS (CEP): CRIAR VALIDAÇÃO PARA ATENDER ROTINA CUSTEIO ROTINA
84,75,"sql, código, select, movimento, update, estoque",ESTO,0.4,ESTO:12 MPSP:4 ADMI:4 PEDI:3,documentacao:41 email:19 pedido:15,33,0.24,0.939,"Encerramento de Ordem de Fabricação (CFAB1) — lançamentos de estoques, seriam os corretos, trans estoque atm"
85,15,"lotes, painel, fracionar, reetiquetamento, knd lote, reservado",,,,documentacao:10 pedido:4 teste:1,8,0.2,0.946,"Consulta Estoque Produto (ESTO7) — painel de expedição, validação anterior nro, reservado do estoque"
86,24,"estoque futuro, localização, produção estoque, lote produção, liberação estoque, brisa",MPSP,0.7,MPSP:7 PEDI:2 ESTO:1,email:8 documentacao:8 pedido:8,7,0.5,0.948,"Lote Produção Estoque p/ Venda Estoque Futuro (MPSP20) — lote produção estoque, equipe brisa, volta para permitir"
87,40,"reposição, ponto, estoque segurança, consumo médio, médio diário, necessidade",COMP,0.75,COMP:9 ESTO:2 EPRO:1,documentacao:23 email:8 pedido:8 teste:1,9,0.65,0.94,"Plano de Necessidades de Compras (COMP13) — ponto de reposição, tais materiais, tipo fornecimento"
88,20,"pré, recebimento, pre, compra, recebido, recebida",COMP,0.82,COMP:9 CFAB:1 RECE:1,pedido:16 documentacao:4,6,0.4,0.95,PRÉ - RECEBIMENTO PEDIDO DE COMPRA - SISTEMA DEVE VERIFICAR SE EXISTE NOTA AGUARDANDO
89,55,"flex, vendas, saldo, planejamento, distribuição, frigolaste",VEND,0.85,VEND:41 PEDI:4 FATU:2 MPSP:1,pedido:48 documentacao:5 email:2,10,0.36,0.941,"Controle de Flexibilidade de Vendas (VEND113) — controle de flexibilidade, distribuição pedidos representantes, gera o saldo"
90,35,"rendimento, custo, listar, curtume, ter total, deverá ter",CFAB,1.0,CFAB:32,pedido:31 documentacao:3 email:1,6,0.69,0.949,"Relatório de Rendimento com Custo (CFAB85) — custo fixo, napa asa, geração e abastecimento"
91,23,"fornecedor, wagner, nfs, cesar, mauricio, assunto",FATU,0.75,FATU:3 PEDI:1,email:16 pedido:4 documentacao:3,8,0.3,0.939,"Pedido não pode ser erro 22814 Bom dia Mauricio,"
92,17,"planejamento vendas, cota, carcaça, qtde efetiva, qtdes, ivendre",VEND,1.0,VEND:10,documentacao:9 email:4 pedido:4,5,0.59,0.942,"EPRO1 — planejamento de vendas, treinamento com equipe, rotina já calcula"
93,41,"encerramento, estoque, períodos, custo médio, mês, meses",ESTO,0.79,ESTO:19 ADMI:3 COMP:1 MIND:1,email:16 pedido:14 documentacao:11,16,0.29,0.942,"Encerramento Estoque (ESTO69) — Então, favor efetue o seguinte procedimento"
94,15,"conversão, fator, fornecedor, cotação, cotações, medida",COMP,0.92,COMP:12 EPRO:1,pedido:6 documentacao:5 email:4,6,0.4,0.947,"Cotação (COMP14) — quantidade o sistema, unitário do produto, itens de pedidos"
95,44,"arezzo, importação, rótulos, portal, edi, romaneio",PEDI,0.94,PEDI:15 CFAB:1,documentacao:21 email:16 pedido:7,16,0.32,0.935,"Importação de Rótulos Arezzo (PEDI127) — numero do rotulo, qtde de caracteres, importados a partir"
96,28,"instrução, embarque, cancelamento saldo, pedidos, quantidade, origem",PEDI,0.87,PEDI:20 MPSP:2 VEND:1,documentacao:10 email:9 pedido:9,10,0.43,0.941,"PEDI112 — cancelamento de saldo, reservada no estoque, maneira a quantidade"
97,59,"compras, necessidades, mrp, estabelecimento, plano, líquida",COMP,0.98,COMP:53 MPSP:1,pedido:58 email:1,12,0.59,0.95,"Plano de Necessidades de Compras (COMP13) — PLANO NECESSIDADE DE COMPRAS (MRP) - CRIAR AGRUPAMENTO, CLASSIFICAÇÃO E FILTRO POR…"
98,58,"suprimentos compras, compra alteração, compras compra, compra detalhamento, plano necessidades, necessidades compra",COMP,0.98,COMP:55 EPRO:1,pedido:54 documentacao:4,18,0.38,0.941,"Plano de Necessidades de Compra Agrupado (COMP75) — Programa Plano de Necessidades de Compras-COMP13, e Programa novo do Pedido Serviço…"
99,77,"qtde, medição, metragem, aqui, abastecimento, ofs",CFAB,0.38,CFAB:18 ESTO:12 MPSP:8 FATU:6,documentacao:36 pedido:21 email:20,42,0.1,0.94,"Cópia de Ordem de Fabricação (CFAB59) — situação que envolve, posteriormente a qtde, manteve o consumo"
100,36,"cri, inventariado, inventário, divergência, ajuste, estoque",ESTO,1.0,ESTO:12,pedido:36,12,0.31,0.948,Ajuste Divergência Estoque X Inventariado (ESTO73) — AJUSTE DIVERGÊNCIA ESTOQUE X INVENTARIADO - CRI - DEVERÁ MOSTRAR E AJUSTAR A DIVERGÊNCIA…
101,59,"suprimentos estoque, estoque lançamentos, estoque produto, consulta estoque, estoque consultas, documentação suprimentos",ESTO,0.93,ESTO:38 FATU:2 PEDI:1,pedido:57 email:1 documentacao:1,29,0.14,0.942,"Consulta Estoque Produto (ESTO7) — CONSULTA ESTOQUE PRODUTO - ESTO7 - MOSTRANDO SALDO NO ESTOQUE FUTURO, MESMO APÓS TER SIDO"
102,38,"rótulo, operação, coletor, unidade produto, rotulo, diversas",PEDI,0.75,PEDI:6 FATU:2,pedido:37 email:1,10,0.42,0.946,PROJETO EXPEDIÇÃO BOLSAS - AJUSTAR ALGUMAS VALIDAÇÕES
103,48,"ora, mensagem, erro, motivo, found, find",ESTO,0.22,ESTO:4 EPRO:3 PEDI:3 FATU:2,documentacao:36 email:9 pedido:3,28,0.35,0.93,"ADMI125 — cordato na tentativa, colocamos o atributo, listar somente materiais"
104,22,"operações, propriedade, tempo, ficha, processos, setup",PREC,0.83,PREC:10 RECE:1 PEDI:1,pedido:18 documentacao:4,11,0.23,0.946,"PREC27 — CADASTRO DE OPERAÇÕES, DE CRP: CRIAR CAMPOS NOVOS QUE SERÃO UTILIZADOS POR SUA ROTINA…"
105,21,"estoque, reserva, localização, operação, nfs, controle",PEDI,0.33,PEDI:4 FATU:4 CEXC:1 ESTO:1,documentacao:13 email:5 pedido:3,15,0.19,0.947,"Consulta Estoque Produto (ESTO7) — rotina de consignação, estoque fisico, zerando a qtde"
106,31,"medida, unidade, primária, qtde, secundária, secundaria",CFAB,0.86,CFAB:12 CPRO:2,pedido:31,10,0.29,0.952,Encerramento de Ordem de Fabricação (CFAB1) — Manufatura Chão de Fábrica Lançamentos
107,52,"apontamento, web, coletores, aplicação, usuário, recurso",ADMI,0.5,ADMI:2 CFAB:1 MPSP:1,pedido:39 documentacao:9 email:4,11,0.4,0.938,"Coletores (ADMI84) — página de apontamento, respectivos processos vinculados, questão da rotina"
108,53,"importação, edi, arquivo, venda, importar, ocorrências",PEDI,0.75,PEDI:21 CPAG:4 EPRO:1 COMP:1,pedido:44 documentacao:8 email:1,19,0.19,0.942,"soma pares edi, insere prod vinculos, utilizar validar"
109,60,"ticket, proceso, producción, una, producto, apuntamiento",EPRO,0.17,EPRO:3 MPSP:3 ESTO:3 COMP:2,email:37 documentacao:16 pedido:7,28,0.35,0.927,A recomendação completa do anexo 11572.docx acima foi
110,35,"formula, tinta, acabamento, aqui, materiais, consumo",EPRO,1.0,EPRO:1,documentacao:18 pedido:9 email:8,12,0.26,0.937,"CFAB11 — tive que vincular, formulas de acabamento, gerar o plano"
111,21,"semi, acabado, ofs, origem, independente, costurado",MPSP,0.64,MPSP:9 PEDI:3 EPRO:2,pedido:11 documentacao:6 email:4,8,0.29,0.948,Desenvolvido no Pedido Serviço 16936
112,15,"apontamento, fábrica lançamentos, talão, manufatura chão, reservar, chão fábrica",CFAB,0.67,CFAB:2 EPRO:1,pedido:13 teste:1 email:1,7,0.47,0.954,"Encerramento de Ordem de Fabricação (CFAB1) — ROTINA DE APONTAMENTO DE PRODUÇÃO, DE PRODUTO COM CONTROLE DE LOTE + CONFIGURAÇÃO DE"
113,15,"fabricação talão, talão lote, apontamento ordem, back flush, baixa back, fábrica lançamentos",,,,pedido:13 documentacao:2,4,0.47,0.959,APONTAMENTO DE ORDEM DE FABRICAÇÃO/TALÃO/LOTE: TRATAR A ROTINA DE BAIXA BACK FLUSH DE…
114,32,"flush, back, baixa, materiais, realiza, localização",ESTO,0.7,ESTO:7 PREC:2 EPRO:1,pedido:17 documentacao:13 email:2,11,0.44,0.948,"Componente (EPRO14) — back-flush dos materiais, apresentadas as seguintes, recurso do apontamento"
115,41,"planejamento, ofs, planos, estava, produzido, situação",MPSP,0.83,MPSP:30 COMP:4 CFAB:1 ADMI:1,documentacao:20 email:18 pedido:3,10,0.61,0.938,"Planejamento (MPSP2) — Planejamento, situação vista na Brisa, RA 210823020"
116,16,"consignação, depósito, operação, localização, estoque, controle",RECE,0.5,RECE:3 FATU:3,documentacao:9 teste:4 pedido:2 email:1,7,0.31,0.959,"Relatório Posição Plano de Produção (CFAB24) — efetua a efetiva, remessa oper, configuração da operação"
117,38,"apontamento, fábrica lançamentos, desvio, manufatura chão, parâmetro, chão fábrica",CFAB,1.0,CFAB:28,pedido:33 documentacao:5,12,0.26,0.944,"CFAB90 — inicialização para poder, multi tarefa curtume, hora atual"
118,24,"multitarefa, cep, apontamento, curtume, desvio processo, fabrica lançamentos",CFAB,0.82,CFAB:18 CPRO:4,pedido:19 documentacao:5,9,0.5,0.949,CFAB90 — APONTAMENTO MUILTI-TAREFA CURTUME - CFAB90 - A VISUALIZAÇÃO DE DADOS DO CEP POR PROCESSO…
