cluster_a,cluster_b,links,keywords_a,keywords_b
117,120,8,"apontamento, fábrica lançamentos, desvio","cartão, emissão, componente"
20,136,8,"carteira, análise, relatório","abastecimento, suprimentos planejamento, materiais"
25,134,8,"caixas, aproveitamento, lote","encaixotamento liberação, talões, faturamento"
72,76,8,"ocorrida, sobre, situação","rotativo inventario, liberar estoque, relatório posição"
62,135,8,"carta correção, mail assunto, nfs","remessa, industrialização, retorno"
71,80,8,"impressora, navegador, impressão","assunto, mail, marcio"
24,80,8,"logs, job, tabelas","assunto, mail, marcio"
15,33,8,"manutenção, preventiva, maquina","manutenção industrial, transferência, máquina"
15,80,8,"manutenção, preventiva, maquina","assunto, mail, marcio"
73,76,7,"relatório, fiscal, gera nota","rotativo inventario, liberar estoque, relatório posição"
26,80,7,"saldo saldo, alterado, prev","assunto, mail, marcio"
9,10,7,"doccob, transportadora, conemb","codex clipboard, png, tecnica"
103,120,7,"ora, mensagem, erro","cartão, emissão, componente"
80,109,7,"assunto, mail, marcio","ticket, proceso, producción"
41,122,7,"lote, balanceado, quantidade","abastecimento, ofs, materiais"
47,78,7,"rentabilidade, inicialização, venda","plano produção, entrega, planos"
31,48,7,"conta contábil, produtos fabricação, geração produtos","produtos fabricação, geração produtos, fabricação quando"
52,93,7,"custeio, custo, mês","encerramento, estoque, períodos"
129,135,7,"entrada, chave, nfs","remessa, industrialização, retorno"
129,130,7,"entrada, chave, nfs","schneider, marcio, reni"
39,66,7,"pegada, patchs, frigolaste","link, http, kunden senha"
78,119,7,"plano produção, entrega, planos","processo, recurso, relatório"
72,81,7,"ocorrida, sobre, situação","descritivos técnicos, doc, relatório emissões"
80,107,7,"assunto, mail, marcio","apontamento, web, coletores"
29,60,7,"detalhamento teste, login, user","grafdil, pessoa, franquia"
78,92,7,"plano produção, entrega, planos","planejamento vendas, cota, carcaça"
79,80,7,"email, envio, configuração","assunto, mail, marcio"
33,135,7,"manutenção industrial, transferência, máquina","remessa, industrialização, retorno"
29,75,7,"detalhamento teste, login, user","topificação utilizar, utilizar modelo, modelo topificação"
113,114,6,"fabricação talão, talão lote, apontamento ordem","flush, back, baixa"
72,77,6,"ocorrida, sobre, situação","conciliação estoque, ordens fabricação, relatório"
84,86,6,"sql, código, select","estoque futuro, localização, produção estoque"
38,42,6,"assunto alteração, alteração ficha, material","conjunto, marca, embalagem"
49,67,6,"etiqueta, embalagem, painel","etiqueta, emissão, unidade produto"
59,150,6,"romaneio, saída, faturamento","faturamento, rota, liberação pedidos"
114,122,6,"flush, back, baixa","abastecimento, ofs, materiais"
62,63,6,"carta correção, mail assunto, nfs","preço, ecommerce, precisa habilitar"
135,141,6,"remessa, industrialização, retorno","retorno, industrialização deposito, depósito"
89,150,6,"flex, vendas, saldo","faturamento, rota, liberação pedidos"
129,144,6,"entrada, chave, nfs","sefaz, receita, nfs"
141,142,6,"retorno, industrialização deposito, depósito","retorno remessa, recebimento, industrialização"
64,87,6,"lote mínimo, mínimo compra, qtde","reposição, ponto, estoque segurança"
80,91,6,"assunto, mail, marcio","fornecedor, wagner, nfs"
115,133,6,"planejamento, ofs, planos","planejamento, minutos, recurso"
133,138,6,"planejamento, minutos, recurso","plano mestre, mestre produção, planejamento"
68,103,6,"ora, into kunden, null into","ora, mensagem, erro"
80,120,6,"assunto, mail, marcio","cartão, emissão, componente"
40,80,6,"aplicar regra, venda documentação, estrutura comercial","assunto, mail, marcio"
53,89,6,"painel, web, frigolaste","flex, vendas, saldo"
98,123,6,"suprimentos compras, compra alteração, compras compra","distribuição pedidos, entrega, vendas distribuição"
47,98,6,"rentabilidade, inicialização, venda","suprimentos compras, compra alteração, compras compra"
107,117,6,"apontamento, web, coletores","apontamento, fábrica lançamentos, desvio"
72,75,6,"ocorrida, sobre, situação","topificação utilizar, utilizar modelo, modelo topificação"
6,75,5,"user, senha, acesso base","topificação utilizar, utilizar modelo, modelo topificação"
121,132,5,"ivendre, fotos, ios","android, app, ivendre"
43,122,5,"materiais, material, componente","abastecimento, ofs, materiais"
69,109,5,"select, tabela, empresa","ticket, proceso, producción"
40,123,5,"aplicar regra, venda documentação, estrutura comercial","distribuição pedidos, entrega, vendas distribuição"
83,112,5,"cep, lançamento, controle indicador","apontamento, fábrica lançamentos, talão"
3,13,5,"evento, autor, leiaute","tag, obrig rejeição, chave acesso"
104,119,5,"operações, propriedade, tempo","processo, recurso, relatório"
106,119,5,"medida, unidade, primária","processo, recurso, relatório"
80,135,5,"assunto, mail, marcio","remessa, industrialização, retorno"
110,122,5,"formula, tinta, acabamento","abastecimento, ofs, materiais"
52,83,5,"custeio, custo, mês","cep, lançamento, controle indicador"
39,81,5,"pegada, patchs, frigolaste","descritivos técnicos, doc, relatório emissões"
25,122,5,"caixas, aproveitamento, lote","abastecimento, ofs, materiais"
69,115,5,"select, tabela, empresa","planejamento, ofs, planos"
41,78,5,"lote, balanceado, quantidade","plano produção, entrega, planos"
48,50,5,"produtos fabricação, geração produtos, fabricação quando","custeio, couro, produto pronto"
84,93,5,"sql, código, select","encerramento, estoque, períodos"
105,129,5,"estoque, reserva, localização","entrada, chave, nfs"
26,84,5,"saldo saldo, alterado, prev","sql, código, select"
81,122,5,"descritivos técnicos, doc, relatório emissões","abastecimento, ofs, materiais"
128,149,5,"crédito, risco, analise","faturamento, liberação, estabelecimento"
22,83,5,"devolução, cep, evento","cep, lançamento, controle indicador"
84,85,5,"sql, código, select","lotes, painel, fracionar"
18,108,5,"gtin, ean, txt","importação, edi, arquivo"
120,135,5,"cartão, emissão, componente","remessa, industrialização, retorno"
11,53,5,"contra nota, abate, condena","painel, web, frigolaste"
53,150,5,"painel, web, frigolaste","faturamento, rota, liberação pedidos"
89,132,5,"flex, vendas, saldo","android, app, ivendre"
53,54,5,"painel, web, frigolaste","painel embalagem, embalagem web, web painel"
15,24,5,"manutenção, preventiva, maquina","logs, job, tabelas"
89,92,5,"flex, vendas, saldo","planejamento vendas, cota, carcaça"
124,131,5,"distribuição pedidos, markup, pedidos venda","ivendre, ios, valor mínimo"
24,131,5,"logs, job, tabelas","ivendre, ios, valor mínimo"
94,98,5,"conversão, fator, fornecedor","suprimentos compras, compra alteração, compras compra"
19,29,5,"cnpj, pessoas, jurídicas","detalhamento teste, login, user"
29,80,5,"detalhamento teste, login, user","assunto, mail, marcio"
20,29,5,"carteira, análise, relatório","detalhamento teste, login, user"
1,128,4,"nao, dito, transcricao","crédito, risco, analise"
1,2,4,"nao, dito, transcricao","revisão, painel, fracionamento"
5,6,4,"reg, status notas, brancos","user, senha, acesso base"
24,79,4,"logs, job, tabelas","email, envio, configuração"
41,139,4,"lote, balanceado, quantidade","mestre produção, plano mestre, manufatura plano"
68,69,4,"ora, into kunden, null into","select, tabela, empresa"
34,44,4,"corrugado, rótulos, encaixotamento","engenharia, estruturação produto, desenvolvimento produto"
36,44,4,"características, categoria, configuração","engenharia, estruturação produto, desenvolvimento produto"
99,111,4,"qtde, medição, metragem","semi, acabado, ofs"
27,58,4,"insumo, liq, prod","preço venda, cálculo, fpv"
37,136,4,"grade, variação, tamanhos","abastecimento, suprimentos planejamento, materiais"
25,99,4,"caixas, aproveitamento, lote","qtde, medição, metragem"
112,117,4,"apontamento, fábrica lançamentos, talão","apontamento, fábrica lançamentos, desvio"
28,112,4,"cotação, moeda, cotações","apontamento, fábrica lançamentos, talão"
112,138,4,"apontamento, fábrica lançamentos, talão","plano mestre, mestre produção, planejamento"
67,70,4,"etiqueta, emissão, unidade produto","rotulo, ler, caixa"
20,90,4,"carteira, análise, relatório","rendimento, custo, listar"
90,110,4,"rendimento, custo, listar","formula, tinta, acabamento"
50,99,4,"custeio, couro, produto pronto","qtde, medição, metragem"
31,106,4,"conta contábil, produtos fabricação, geração produtos","medida, unidade, primária"
84,129,4,"sql, código, select","entrada, chave, nfs"
86,87,4,"estoque futuro, localização, produção estoque","reposição, ponto, estoque segurança"
80,115,4,"assunto, mail, marcio","planejamento, ofs, planos"
78,139,4,"plano produção, entrega, planos","mestre produção, plano mestre, manufatura plano"
