from_chunk,to_chunk,similarity,relation,shared_programs,from_cluster,to_cluster,from_title,to_title
0-0,0-2,0.926,same_record,EPRO15,-1,-1,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida","Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento"
0-0,0-1,0.913,same_record,EPRO15,-1,-1,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida","Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ"
0-0,353-11,0.911,other_document,EPRO15,-1,50,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida","Estruturação de Produto (EPRO15) — Olhei a documentação do 66751 que você Validou Analista, e vejo que há 3 perguntas"
0-0,80-189,0.911,other_document,EPRO15,-1,50,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida","Estruturação de Produto (EPRO15) — Olhei a documentação do 66751 que você Validou Analista, e vejo que há 3 perguntas"
0-0,947-1,0.911,other_document,,-1,29,"Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida","EPRO111 — utilizar este modelo, perda do produto, duplicar ctrl"
0-1,0-2,0.944,same_record,EPRO15,-1,-1,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ","Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento"
0-1,0-0,0.913,same_record,EPRO15,-1,-1,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ","Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida"
0-1,607-4,0.903,other_document,ADMI34 ADMI35,-1,125,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ","ADMI130 — região de vendas, pessoa cadastrada, forma rápida"
0-1,331-14,0.903,other_document,,-1,129,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ","Retorno Remessas (RECE7) — PROGRAMA ""POSIÇÃO REMESSA/RETORNO-TERC3"": A PARTIR DOS CAMPOS ""NRO NF"" E ""PEDIDO"", CRIAR…"
0-1,40-0,0.902,other_document,,-1,111,"Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ",Pedido de Venda (PEDI1) — PEDIDO DE VENDA - PEDI1
0-2,0-1,0.944,same_record,EPRO15,-1,-1,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento","Pessoas Físicas/Jurídicas (ADMI34) — campos: Empresa, Unidade Negócio, Nome, Cidade, CNPJ"
0-2,40-0,0.929,other_document,PEDI1,-1,111,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento",Pedido de Venda (PEDI1) — PEDIDO DE VENDA - PEDI1
0-2,0-0,0.926,same_record,EPRO15,-1,-1,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento","Estruturação de Produto (EPRO15) — campos: Descrição, Código de Produto, Produto, Categoria, Unidade de Medida"
0-2,0-3,0.914,same_record,,-1,-1,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento","Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar"
0-2,562-4,0.911,other_document,PEDI1,-1,111,"Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento","Vínculo Produto/Produto Cliente (EPRO32) — campos: Tipo Entrega, Dados Gerais, Entregas, Encaixotamento"
0-3,960-1,0.915,other_document,FATU2 PEDI4,-1,-1,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar","Emissão de OF (CFAB7) — marcada justificativa inserida, autorização foi enviado, relatório a partir"
0-3,0-2,0.914,same_record,,-1,-1,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar","Pedido de Venda (PEDI1) — campos: Empresa, Unidade Negócio, Categoria, Moeda, Condição Pagamento"
0-3,257-50,0.914,other_document,PEDI4,-1,138,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar","Liberação Pedidos Faturamento (PEDI4) — PROGRAMA LIBERAÇÃO PEDIDOS FATURAMENTO ¿ PEDI4, ABA ¿FATURAMENTO¿, CAMPOS ¿QTD VOLUME¿ E"
0-3,585-3,0.910,other_document,,-1,145,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar","ESTÁ MOSTRANDO O RÓTULO FILHO Rotina (PEDI26) + PEDI62 — pedios para encaixotamento, distribuição pedidos relatório, pedi pegada"
0-3,258-8,0.910,other_document,,-1,145,"Liberação Pedidos Faturamento (PEDI4) — campos: Liberação, Entrega, Liberar, Operação, Faturar","Liberação Pedidos Faturamento (PEDI44) — pedios para encaixotamento, distribuição pedidos relatório, pedi pegada"
1-0,798-0,0.878,other_document,,-1,8,"versões do produto, além de desenvolver, gestão empresarial",All sections to appear here FRETE CERTO
1-0,628-0,0.868,other_document,,-1,-1,"versões do produto, além de desenvolver, gestão empresarial",Apresentação Kunden Power Bi
1-0,250-28,0.862,other_document,,-1,-1,"versões do produto, além de desenvolver, gestão empresarial",Itens do programa Solicitação (ESTO36) — [10:37] Gabriela Prestes | Kunden Systems
1-0,838-17,0.860,other_document,,-1,2,"versões do produto, além de desenvolver, gestão empresarial","Ordens de Serviço (MIND22) — título da janela, painel lateral esquerdo, análise de crédito"
1-0,263-1,0.857,other_document,,-1,143,"versões do produto, além de desenvolver, gestão empresarial","FATU146 — configurações de notas, systems, ver o anexo"
1-1,990-7,0.907,other_document,,21,21,"tomadas de decisão, gestão da produção, dados em tempo",Usado para
1-1,14-42,0.907,other_document,,21,2,"tomadas de decisão, gestão da produção, dados em tempo","validação do fluxo, treinamento técnico operacional, rolos de tecido"
1-1,619-4,0.907,other_document,,21,21,"tomadas de decisão, gestão da produção, dados em tempo",Integrado diretamente com os módulos do Kunden ERP
1-1,14-48,0.906,other_document,,21,2,"tomadas de decisão, gestão da produção, dados em tempo","aptos a faturar, sku e lote, seleção para faturamento"
1-1,14-50,0.906,other_document,,21,2,"tomadas de decisão, gestão da produção, dados em tempo","infinity appliques, pedidos aptos, validação do fluxo"
2-0,517-0,0.926,other_document,ESTO112 PEDI1,15,15,"Materiais e Controle de Ordem de Fabricação (ESTO112) — nfs de entrada, quantidade secundária, peso dos animais","Programas (ADMI6) — compra de animais, abate, roberto frig senha"
2-0,2-1,0.919,same_topic,,15,15,"Materiais e Controle de Ordem de Fabricação (ESTO112) — nfs de entrada, quantidade secundária, peso dos animais","CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs"
2-0,483-0,0.917,other_document,,15,61,"Materiais e Controle de Ordem de Fabricação (ESTO112) — nfs de entrada, quantidade secundária, peso dos animais","EPRO58 — qtde de etiquetas, etiqueta primaria, informações nutricionais"
2-0,485-2,0.917,other_document,,15,15,"Materiais e Controle de Ordem de Fabricação (ESTO112) — nfs de entrada, quantidade secundária, peso dos animais","Frigorífico (RECE50) — suíno carcaça, produtor rural, contra nota"
2-0,506-1,0.910,other_document,,15,15,"Materiais e Controle de Ordem de Fabricação (ESTO112) — nfs de entrada, quantidade secundária, peso dos animais",Frigorífico (RECE50) — GERA CONTRA NOTA FISCAL DE ENTRADA - FRIGORÍFICO - USAR VALOR PELO PESO DO ABATE Rotina
2-1,2-2,0.931,same_topic,,15,15,"CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs","Frigorífico (RECE50) — base no percentual, peso vivo, evento de cep"
2-1,517-0,0.930,other_document,,15,15,"CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs","Programas (ADMI6) — compra de animais, abate, roberto frig senha"
2-1,496-8,0.925,other_document,,15,61,"CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs","categoria produto condena, marca na etiqueta, faixa de peso"
2-1,952-2,0.923,other_document,,15,29,"CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs",Isso porque no cadastro destes produtos tem uma faixa
2-1,2-0,0.919,same_topic,,15,15,"CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs","Materiais e Controle de Ordem de Fabricação (ESTO112) — nfs de entrada, quantidade secundária, peso dos animais"
2-2,2-1,0.931,same_topic,,15,15,"Frigorífico (RECE50) — base no percentual, peso vivo, evento de cep","CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs"
2-2,517-1,0.914,other_document,,15,15,"Frigorífico (RECE50) — base no percentual, peso vivo, evento de cep","Indcadores (CPRO1) — Agora, para atender rotinas de Condenas, para CEP, laudos e Contranota"
2-2,952-2,0.914,other_document,,15,29,"Frigorífico (RECE50) — base no percentual, peso vivo, evento de cep",Isso porque no cadastro destes produtos tem uma faixa
2-2,515-3,0.913,other_document,RECE50,15,15,"Frigorífico (RECE50) — base no percentual, peso vivo, evento de cep","Configuração de Eventos (CPRO22) + Laudos Padrões (CPRO23) — campos: Laudo e Item Laudo, Item, Rodapé"
2-2,496-1,0.910,other_document,,15,-1,"Frigorífico (RECE50) — base no percentual, peso vivo, evento de cep","indicador codigo condena, painel de abates, exibido os eventos"
2-3,485-10,0.915,other_document,RECE50,15,15,"Prima Couro / Fornecedor (CFAB101) — contra nota, itens são exibidos, relatório de análise","Frigorífico (RECE50) — NOVO RELATÓRIO QUE GERE A DIFERENÇA DA NF LANÇADA PELA COOPERATIVA, COM A PESAGEM/ABATE…"
2-3,485-3,0.913,other_document,RECE50,15,15,"Prima Couro / Fornecedor (CFAB101) — contra nota, itens são exibidos, relatório de análise","Frigorífico (RECE50) — configuração de eventos, documentos fiscais eletrônicos, contra nota"
2-3,2-1,0.912,same_topic,,15,15,"Prima Couro / Fornecedor (CFAB101) — contra nota, itens são exibidos, relatório de análise","CPRO4 — Com isso, houve uma requisição gerada no estoque dos lotes das NFs"
2-3,517-3,0.907,other_document,,15,15,"Prima Couro / Fornecedor (CFAB101) — contra nota, itens são exibidos, relatório de análise","Configuração de Eventos (CPRO22) — Outro teste, a partir da geração da Contranota"
2-3,511-2,0.907,other_document,CFAB101,15,15,"Prima Couro / Fornecedor (CFAB101) — contra nota, itens são exibidos, relatório de análise",Prima Couro / Fornecedor (CFAB101) — Relatório Analise de Abate - Ajustar pontos no relatório quando ocorrer mais de uma…
2-4,170-73,0.902,other_document,,-1,-1,"filtrado o plano, gera uma etiqueta, apontamento de embalagem",Plano de Produção (MPSP5) — Plano Produção
2-4,428-1,0.899,other_document,,-1,-1,"filtrado o plano, gera uma etiqueta, apontamento de embalagem",Relatório Carteira de Pedidos (VEND35) — NOVO REPORT - BASEADO NESSE RELATÓRIO DESENVOLVER A QUESTÃO DOS LOTE PRODUÇÃO ESTOQUE…
2-4,13-0,0.894,other_document,,-1,-1,"filtrado o plano, gera uma etiqueta, apontamento de embalagem",Consulta Ordem de Fabricação (CFAB2) — Criado um LE: Liberado pelo MPSP20
2-4,432-8,0.892,other_document,,-1,76,"filtrado o plano, gera uma etiqueta, apontamento de embalagem","Produção e Faturamento (MPSP54) — passaria a mostrar, apontamento multiplos produtos, qtdes de couros"
2-4,188-3,0.888,other_document,,-1,76,"filtrado o plano, gera uma etiqueta, apontamento de embalagem","ESTO77 — sobre OFs “antigas”, que não foram finalizadas na expedição, e estão como ativas, mas que…"
2-5,487-6,0.924,other_document,,101,101,Liberação Pedidos Faturamento por Rota (FATU153) — Ivendre Android,Venda (EPRO61) — Para a rotina do Ivendre: desenvolvido o item de “Dias de Liberação de Venda - para os…
2-5,487-21,0.914,other_document,,101,-1,Liberação Pedidos Faturamento por Rota (FATU153) — Ivendre Android,"campos: Qtd, Data Fabricação, Lote Múltiplo Vendas"
2-5,487-103,0.913,other_document,,101,-1,Liberação Pedidos Faturamento por Rota (FATU153) — Ivendre Android,"Pedido de Venda (PEDI1) — Marcio 160326, em avaliação do RA 260316019"
2-5,2-9,0.910,same_document,,101,-1,Liberação Pedidos Faturamento por Rota (FATU153) — Ivendre Android,"estava reservado, cria os lotes, produtos de revenda"
2-5,487-93,0.910,other_document,,101,-1,Liberação Pedidos Faturamento por Rota (FATU153) — Ivendre Android,"Nota Fiscal de Saída (FATU2) — painel de fracionamento, ocorreu devido, portanto não existe"
2-6,2-7,0.910,same_document,,-1,-1,"Liberação Pedidos Faturamento por Rota (FATU153) — novamente a mensagem, média das peças, controle de expedição",Pedidos de pronta entrega
2-6,489-6,0.907,other_document,FATU153,-1,-1,"Liberação Pedidos Faturamento por Rota (FATU153) — novamente a mensagem, média das peças, controle de expedição","Liberação Pedidos Faturamento por Rota (FATU153) — faturamento por rota, resumida do relatório, listar o numero"
2-6,502-1,0.907,other_document,,-1,-1,"Liberação Pedidos Faturamento por Rota (FATU153) — novamente a mensagem, média das peças, controle de expedição","FATU163 — faturamento por rota, web painel expedição, transferir os lotes"
2-6,133-1,0.905,other_document,,-1,-1,"Liberação Pedidos Faturamento por Rota (FATU153) — novamente a mensagem, média das peças, controle de expedição","Encerramento de Ordem de Fabricação (CFAB1) — atualizou estoque, vinculada a categoria, retorno e faturamento"
2-6,893-2,0.904,other_document,,-1,138,"Liberação Pedidos Faturamento por Rota (FATU153) — novamente a mensagem, média das peças, controle de expedição","Liberação Pedidos Faturamento (PEDI4) — manualmente a qtde, solicitando um encaixotamento, sempre de item"
2-7,2-9,0.924,same_document,,-1,-1,Pedidos de pronta entrega,"estava reservado, cria os lotes, produtos de revenda"
2-7,587-1,0.912,other_document,,-1,-1,Pedidos de pronta entrega,"Relatório Pedidos Prontos para Faturar (PEDI115) — ACRESCENTAR FILTRO DE PLANO / AJUSTAR RELATÓRIO QUANDO FILTRO ""PARCIALMENTE PRODUZIDOS"""
2-7,587-2,0.912,other_document,,-1,-1,Pedidos de pronta entrega,Relatório Pedidos Prontos para Faturar (PEDI115) — RELATÓRIO PEDIDOS PRONTOS EXPEDIÇÃO
2-7,686-8,0.911,other_document,,-1,83,Pedidos de pronta entrega,PRÉ - RECEBIMENTO PEDIDO DE COMPRA - SISTEMA DEVE VERIFICAR SE EXISTE NOTA AGUARDANDO
2-7,503-7,0.910,other_document,,-1,84,Pedidos de pronta entrega,"Consulta Estoque Produto (ESTO7) — somado a qtde, saldo do lote, ficou o estoque"
2-8,573-34,0.889,other_document,,106,-1,"possui peso padrão, somando a quantidade, bacon",Pedido de Venda (PEDI1) — PEDIDO DE VENDA - PEDIDO PRONTA ENTREGA - CRIAR VALIDAÇÃO PARA QUANTIDADE SECUNDÁRIA
2-8,487-2,0.884,other_document,,106,-1,"possui peso padrão, somando a quantidade, bacon","Estruturação de Produto (EPRO15) — verifica na estruturação, lotes mais antigos, atender à entrega"
2-8,589-2,0.883,other_document,,106,106,"possui peso padrão, somando a quantidade, bacon","Relatório Resumo Vendas e Estoque (VEND103) — vendas e estoque, posição de pedidos, validação ped serv"
2-8,211-15,0.882,other_document,,106,-1,"possui peso padrão, somando a quantidade, bacon","CEXC1022 — Produtos prontos p Faturar Boa tarde Edison,"
2-8,487-47,0.881,other_document,,106,-1,"possui peso padrão, somando a quantidade, bacon",Pedido de Venda (PEDI1) — Problemas de Reservas nos pedidos iVendre Bom dia
2-9,503-0,0.935,other_document,,-1,60,"estava reservado, cria os lotes, produtos de revenda",ROTINA NOVA - PRODUTOS DE REVENDA – FRIGORIFICOS Rotina
2-9,487-84,0.934,other_document,,-1,60,"estava reservado, cria os lotes, produtos de revenda",ROTINA NOVA - PRODUTOS DE REVENDA – FRIGORIFICOS Rotina
2-9,503-2,0.927,other_document,,-1,84,"estava reservado, cria os lotes, produtos de revenda","Consulta Estoque Produto (ESTO7) — lote original, novos lotes, registrado no estoque"
2-9,2-7,0.924,same_document,,-1,-1,"estava reservado, cria os lotes, produtos de revenda",Pedidos de pronta entrega
2-9,487-93,0.922,other_document,,-1,-1,"estava reservado, cria os lotes, produtos de revenda","Nota Fiscal de Saída (FATU2) — painel de fracionamento, ocorreu devido, portanto não existe"
2-10,497-10,0.892,other_document,,60,60,"necessidade de ler, passar no painel, lote a lote","locais de armazenagem, funcionalidades do painel, cadastro prévio"
2-10,497-25,0.886,other_document,,60,60,"necessidade de ler, passar no painel, lote a lote",PAINEL LOCAL DE ARMAZENAGEM - WEB - CRIAR UMA ROTINA QUE ABRA E FECHE UM LOCAL DE…
2-10,469-0,0.879,other_document,,60,60,"necessidade de ler, passar no painel, lote a lote","Locais de Armazenagem (EPRO26) — locais de armazenagem, numero do lote, vinculação inclusão inserção"
2-10,2-4,0.875,same_document,,60,-1,"necessidade de ler, passar no painel, lote a lote","filtrado o plano, gera uma etiqueta, apontamento de embalagem"
2-10,244-5,0.874,other_document,,60,60,"necessidade de ler, passar no painel, lote a lote","Locais de Armazenagem (EPRO26) — numero do lote, local de armazenagem, vinculação inclusão inserção"
2-11,2-9,0.921,same_document,,-1,-1,"Liberação Pedidos Faturamento por Rota (FATU153) — controla o estoque, temos uma rotina, venda destes produtos","estava reservado, cria os lotes, produtos de revenda"
2-11,274-12,0.914,other_document,FATU153,-1,-1,"Liberação Pedidos Faturamento por Rota (FATU153) — controla o estoque, temos uma rotina, venda destes produtos",Rótulos (FATU104) + Recebimento Devoluções de Consignação (FATU6) — Esta situação creio que também tenha haver com Devolução
2-11,274-13,0.909,other_document,,-1,-1,"Liberação Pedidos Faturamento por Rota (FATU153) — controla o estoque, temos uma rotina, venda destes produtos","Rótulos (FATU104) + Recebimento Devoluções de Consignação (FATU6) — cancelamento de entrega, respectivos lotes, venda e item"
2-11,2-5,0.908,same_document,FATU153,-1,101,"Liberação Pedidos Faturamento por Rota (FATU153) — controla o estoque, temos uma rotina, venda destes produtos",Liberação Pedidos Faturamento por Rota (FATU153) — Ivendre Android
2-11,211-67,0.908,other_document,FATU153,-1,-1,"Liberação Pedidos Faturamento por Rota (FATU153) — controla o estoque, temos uma rotina, venda destes produtos",Liberação Pedidos Faturamento por Rota (FATU153) — Situação Frigolaste em 140119
2-12,211-67,0.911,other_document,,-1,-1,Estorno de NF Parâmetro 50138,Liberação Pedidos Faturamento por Rota (FATU153) — Situação Frigolaste em 140119
2-12,274-12,0.904,other_document,,-1,-1,Estorno de NF Parâmetro 50138,Rótulos (FATU104) + Recebimento Devoluções de Consignação (FATU6) — Esta situação creio que também tenha haver com Devolução
2-12,274-17,0.904,other_document,,-1,109,Estorno de NF Parâmetro 50138,"Rótulos (FATU104) + Recebimento Devoluções de Consignação (FATU6) — CONSULTA ESTOQUE PRODUTO - ESTO7 - RESERVA DOS LOTES FOI REALIZADA, PORÉM NÃO ATUALIZOU O…"
2-12,211-170,0.900,other_document,,-1,-1,Estorno de NF Parâmetro 50138,"Nota Fiscal de Saída (FATU2) — gerar nf-e estorno, necessidade de cancelar, situação na vps"
2-12,951-5,0.899,other_document,,-1,-1,Estorno de NF Parâmetro 50138,"Requisição Informada (ESTO4) — movimentando seu estoque, produto para realizar, lançamento na localização"
3-0,9-0,0.949,other_document,ESTO23 FATU6 FATU94 PEDI44,130,130,Registro Controle Produção e Estoque (ESTO19) — TESTE CONSIGNAÇÃO,"Transferência entre Localização (ESTO23) — estoque na localização, transferir as qtdes, sequência é utilizado"
3-0,9-1,0.948,other_document,ESTO19 FATU6 FATU94 PEDI44,130,130,Registro Controle Produção e Estoque (ESTO19) — TESTE CONSIGNAÇÃO,"Relatório Posição Plano de Produção (CFAB24) — efetua a efetiva, remessa oper, configuração da operação"
3-0,159-10,0.945,other_document,FATU6,130,130,Registro Controle Produção e Estoque (ESTO19) — TESTE CONSIGNAÇÃO,"ADMI125 — Processo posterior, tendo o cliente “vendido” o produto"
3-0,159-13,0.944,other_document,FATU6 FATU94 PEDI44,130,130,Registro Controle Produção e Estoque (ESTO19) — TESTE CONSIGNAÇÃO,"ADMI125 — configuração da operação, efetivamente vendido, vendeu e retornou"
3-0,159-14,0.930,other_document,ESTO19 FATU6 PEDI44,130,130,Registro Controle Produção e Estoque (ESTO19) — TESTE CONSIGNAÇÃO,"Registro Controle Produção e Estoque (ESTO19) — efetua a efetiva, remessa oper, saldo no controle"
4-0,158-2,0.899,other_document,CONT80,-1,-1,"CONT80 — nível de estoque, detalhado por documento, balancete",CONT80 + CONT81 — PROGRAMA NOVO - CONCILIAÇÃO ESTOQUE ROTINA [Imagem: CONT80] ALTERAÇÃO
4-0,219-2,0.894,other_document,,-1,-1,"CONT80 — nível de estoque, detalhado por documento, balancete",ESTO108 — (em Suprimentos/Estoques/Relatórios)
4-0,177-4,0.894,other_document,,-1,70,"CONT80 — nível de estoque, detalhado por documento, balancete","inventário do mês, lançamento da nfe, listar relatório"
4-0,233-0,0.888,other_document,,-1,115,"CONT80 — nível de estoque, detalhado por documento, balancete",Programas (ADMI6) — Configuração e geração de Relatório de Calculo de CPRB (Contribuição
4-0,5-0,0.887,other_document,,-1,70,"CONT80 — nível de estoque, detalhado por documento, balancete","CONT40 — contabilizar, relatório do item, geração das tarifas"
5-0,180-2,0.918,other_document,CONT59 CUST1 CUST20 CUST8,70,70,"CONT40 — contabilizar, relatório do item, geração das tarifas","CONT59 — gerar o custo, níveis de semi-acabados, efetuado os procedimentos"
5-0,177-50,0.917,other_document,CUST1,70,70,"CONT40 — contabilizar, relatório do item, geração das tarifas",Tarifas (CUST1) — MELHORIAS Rotina
5-0,177-2,0.915,other_document,,70,70,"CONT40 — contabilizar, relatório do item, geração das tarifas","custos no estoque, relatórios de custeio, final do mês"
5-0,178-0,0.915,other_document,,70,70,"CONT40 — contabilizar, relatório do item, geração das tarifas","inventário do mês, estabelecer as tarifas, custos no estoque"
5-0,177-47,0.914,other_document,CUST20,70,-1,"CONT40 — contabilizar, relatório do item, geração das tarifas",CUST20 — REVISÃO DO CUSTEIO
6-0,6-1,0.955,same_topic,CUST1 CUST13,70,70,"CONT59 — geração das tarifas, centros de custo, ste","CONT12 — conciliação do custeio, ste, sistema irá atualizar"
6-0,177-23,0.926,other_document,,70,70,"CONT59 — geração das tarifas, centros de custo, ste",Custeio Boa tarde!
6-0,178-0,0.919,other_document,,70,70,"CONT59 — geração das tarifas, centros de custo, ste","inventário do mês, estabelecer as tarifas, custos no estoque"
6-0,177-24,0.918,other_document,CUST12 CUST13,70,70,"CONT59 — geração das tarifas, centros de custo, ste","Apropriação do Custeio Integrado (CUST12) — apropriação dos materiais, produtos em fabricação, custeio integrado"
6-0,132-12,0.918,other_document,,70,70,"CONT59 — geração das tarifas, centros de custo, ste",RECÁLCULO DE CUSTEIO: TRATAR O CUSTO DE ENTRADA AO ESTOQUE DOS…
6-1,6-0,0.955,same_topic,CUST1 CUST13,70,70,"CONT12 — conciliação do custeio, ste, sistema irá atualizar","CONT59 — geração das tarifas, centros de custo, ste"
6-1,177-23,0.929,other_document,,70,70,"CONT12 — conciliação do custeio, ste, sistema irá atualizar",Custeio Boa tarde!
6-1,178-0,0.926,other_document,,70,70,"CONT12 — conciliação do custeio, ste, sistema irá atualizar","inventário do mês, estabelecer as tarifas, custos no estoque"
6-1,177-2,0.925,other_document,,70,70,"CONT12 — conciliação do custeio, ste, sistema irá atualizar","custos no estoque, relatórios de custeio, final do mês"
6-1,177-7,0.924,other_document,,70,70,"CONT12 — conciliação do custeio, ste, sistema irá atualizar","valorização de mão, baixados e vinculados, custo dos materiais"
7-0,981-1,0.907,other_document,ESTO25 ESTO71 FATU2,-1,29,Remessa Industrialização (ESTO25) — ESSA É A ROTINA CERTO DE GERAÇÃO DO FCI ATRAVES DO esto71 BASE DESENVOVLIMENTO,Pessoas Físicas/Jurídicas (ADMI34) — Também foi identificado o desconto do 1º Empréstimo e-Consignado no valor de
7-0,342-1,0.907,other_document,ESTO25,-1,-1,Remessa Industrialização (ESTO25) — ESSA É A ROTINA CERTO DE GERAÇÃO DO FCI ATRAVES DO esto71 BASE DESENVOVLIMENTO,Transferências (FATU12) — TRANSFERÊNCIAS RECEBIMENTO - TRATAR RESERVAS (AO LANÇAR O RECEBIMENTO DE…
7-0,403-9,0.905,other_document,,-1,-1,Remessa Industrialização (ESTO25) — ESSA É A ROTINA CERTO DE GERAÇÃO DO FCI ATRAVES DO esto71 BASE DESENVOVLIMENTO,"Manutenção de Transferência OF (CFAB106) — zerando a qtde, exclusão do item, detalhes na rotina"
7-0,949-0,0.902,other_document,ESTO25,-1,29,Remessa Industrialização (ESTO25) — ESSA É A ROTINA CERTO DE GERAÇÃO DO FCI ATRAVES DO esto71 BASE DESENVOVLIMENTO,"Transferência entre Localização (ESTO23) — utilizar este modelo, transferência entre localização, nenhum documento"
7-0,937-2,0.902,other_document,FATU3,-1,30,Remessa Industrialização (ESTO25) — ESSA É A ROTINA CERTO DE GERAÇÃO DO FCI ATRAVES DO esto71 BASE DESENVOVLIMENTO,"Encerramento de Ordem de Fabricação (CFAB1) — recebendo a nota, estoque em transito, quantidades entraram"
9-0,159-13,0.962,other_document,FATU4 FATU44 FATU6 FATU94 PEDI11 PEDI144 PEDI4 PEDI44 RECE2,130,130,"Transferência entre Localização (ESTO23) — estoque na localização, transferir as qtdes, sequência é utilizado","ADMI125 — configuração da operação, efetivamente vendido, vendeu e retornou"
9-0,9-1,0.952,same_topic,FATU6 FATU94 PEDI144 PEDI4 PEDI44 RECE2,130,130,"Transferência entre Localização (ESTO23) — estoque na localização, transferir as qtdes, sequência é utilizado","Relatório Posição Plano de Produção (CFAB24) — efetua a efetiva, remessa oper, configuração da operação"
9-0,159-12,0.950,other_document,ESTO23 PEDI44,130,-1,"Transferência entre Localização (ESTO23) — estoque na localização, transferir as qtdes, sequência é utilizado",Transferência entre Localização (ESTO23) — ERROS NA ROTINA DE REMESSA DE CONSIGNAÇÃO
9-0,3-0,0.949,other_document,ESTO23 FATU6 FATU94 PEDI44,130,130,"Transferência entre Localização (ESTO23) — estoque na localização, transferir as qtdes, sequência é utilizado",Registro Controle Produção e Estoque (ESTO19) — TESTE CONSIGNAÇÃO
9-0,159-10,0.942,other_document,FATU6,130,130,"Transferência entre Localização (ESTO23) — estoque na localização, transferir as qtdes, sequência é utilizado","ADMI125 — Processo posterior, tendo o cliente “vendido” o produto"
9-1,159-13,0.972,other_document,FATU6 FATU94 PEDI1 PEDI144 PEDI4 PEDI44 RECE2,130,130,"Relatório Posição Plano de Produção (CFAB24) — efetua a efetiva, remessa oper, configuração da operação","ADMI125 — configuração da operação, efetivamente vendido, vendeu e retornou"
9-1,159-14,0.961,other_document,ESTO19 FATU6 PEDI44 RECE2,130,130,"Relatório Posição Plano de Produção (CFAB24) — efetua a efetiva, remessa oper, configuração da operação","Registro Controle Produção e Estoque (ESTO19) — efetua a efetiva, remessa oper, saldo no controle"
9-1,159-10,0.960,other_document,FATU6,130,130,"Relatório Posição Plano de Produção (CFAB24) — efetua a efetiva, remessa oper, configuração da operação","ADMI125 — Processo posterior, tendo o cliente “vendido” o produto"
9-1,9-0,0.952,same_topic,FATU6 FATU94 PEDI144 PEDI4 PEDI44 RECE2,130,130,"Relatório Posição Plano de Produção (CFAB24) — efetua a efetiva, remessa oper, configuração da operação","Transferência entre Localização (ESTO23) — estoque na localização, transferir as qtdes, sequência é utilizado"
