from,to,together,documents,from_baskets,to_baskets,confidence,lift,conviction,cross_module,kind,evidence,score
ESTO19,ESTO7,7,5,28,308,0.25,6.24,1.28,0,program->program,9-0 159-14 209-2,1.667
CFAB78,ESTO112,3,3,13,88,0.231,20.17,1.29,1,program->program,120-8 122-1 139-1,1.651
ESTO81,EPRO15,6,4,17,652,0.353,4.16,1.41,1,program->program,104-6 139-0 344-1,1.649
FATU74,ESTO25,9,9,43,336,0.209,4.79,1.21,1,program->program,211-32 288-7 519-1,1.647
TERC3,FATU3,6,5,27,211,0.222,8.1,1.25,1,program->program,259-11 331-6 529-0,1.647
CPRO2,ADMI6,3,3,11,157,0.273,13.36,1.35,1,program->program,665-0 820-1 830-2,1.647
FATU44,PEDI44,4,3,17,111,0.235,16.3,1.29,1,program->program,9-0 159-13 258-11,1.645
ESTO81,CFAB59,4,3,17,112,0.235,16.16,1.29,1,program->program,104-6 139-0 345-18,1.64
PREC12,CFAB1,3,3,12,119,0.25,16.16,1.31,1,program->program,138-13 141-8 773-13,1.64
EPRO105,MPSP5,4,4,15,255,0.267,8.04,1.32,1,program->program,80-202 170-175 519-1,1.639
VEND100,RECE7,3,3,14,70,0.214,23.54,1.26,1,program->program,923-3 935-0 965-0,1.63
ESTO71,MPSP5,7,7,34,255,0.206,6.21,1.22,1,program->program,519-1 521-0 529-0,1.618
CEXT85,ESTO7,3,3,9,308,0.333,8.32,1.44,1,program->program,144-6 878-3 978-0,1.61
FATU125,ESTO7,3,3,9,308,0.333,8.32,1.44,1,program->program,162-20 272-8 282-5,1.61
CEXT85,FATU2,3,3,9,316,0.333,8.11,1.44,1,program->program,144-6 211-32 978-0,1.594
ADMI260,PEDI1,6,5,21,489,0.286,4.49,1.31,1,program->program,608-45 635-0 757-40,1.588
CPRO1,ADMI6,4,4,18,157,0.222,10.88,1.26,1,program->program,149-3 517-0 665-0,1.579
FATU12,ESTO7,7,6,31,308,0.226,5.64,1.24,1,program->program,288-9 342-10 521-1,1.579
MPSP33,COMP13,3,3,11,182,0.273,11.52,1.34,1,program->program,80-110 350-3 454-20,1.563
CPAG5,EPRO15,3,3,7,652,0.429,5.05,1.6,1,program->program,974-0 978-0 981-0,1.558
FATU94,ESTO7,5,4,19,308,0.263,6.57,1.3,1,program->program,9-0 159-9 261-5,1.541
TERC10,PEDI44,4,3,18,111,0.222,15.4,1.27,1,program->program,211-31 212-29 974-0,1.537
RECE50,FATU3,7,4,31,211,0.226,8.23,1.26,1,program->program,141-9 485-2 515-3,1.533
CFAB11,EPRO15,7,5,23,652,0.304,3.59,1.32,1,program->program,103-1 335-3 344-56,1.53
MPSP33,CFAB2,3,3,11,193,0.273,10.87,1.34,1,program->program,454-20 547-31 653-10,1.53
VEND114,PEDI1,3,3,8,489,0.375,5.9,1.5,1,program->program,372-22 527-0 573-121,1.52
PEDI40,PEDI1,3,3,8,489,0.375,5.9,1.5,0,program->program,566-109 573-14 788-4,1.52
CFAB11,ESTO25,6,4,23,336,0.261,5.97,1.29,1,program->program,103-1 335-3 344-13,1.501
EPRO18,ADMI6,3,3,12,157,0.25,12.25,1.31,1,program->program,349-6 383-13 932-0,1.491
FATU104,FATU3,9,3,37,211,0.243,8.87,1.29,0,program->program,274-12 454-34 822-2,1.486
COMP4,PEDI1,4,4,13,489,0.308,4.84,1.35,1,program->program,140-0 663-10 690-5,1.478
COMP50,COMP3,5,3,22,147,0.227,11.89,1.27,0,program->program,668-1 678-29 955-3,1.475
TERC10,CFAB2,4,4,18,193,0.222,8.85,1.25,1,program->program,625-2 918-0 920-0,1.46
ESTO3,FATU2,6,5,26,316,0.231,5.62,1.25,1,program->program,181-1 194-18 240-7,1.458
MPSP20,MPSP5,5,3,19,255,0.263,7.94,1.31,0,program->program,170-126 593-15 950-0,1.436
VEND100,RECE2,3,3,14,105,0.214,15.69,1.26,1,program->program,923-3 935-0 965-3,1.433
CEXT18,ESTO7,3,3,10,308,0.3,7.49,1.37,1,program->program,144-1 856-21 878-3,1.424
CFAB23,ESTO7,3,3,10,308,0.3,7.49,1.37,1,program->program,144-1 454-35 950-0,1.424
FATU124,FATU61,12,3,52,211,0.231,8.41,1.26,0,program->program,213-95 292-5 935-0,1.411
PEDI138,PEDI1,4,3,12,489,0.333,5.24,1.4,0,program->program,894-0 897-3 902-0,1.409
TERC10,FATU61,4,4,18,211,0.222,8.1,1.25,1,program->program,920-0 923-3 965-0,1.409
ADMI42,FATU2,3,3,10,316,0.3,7.3,1.37,1,program->program,970-2 980-0 994-4,1.409
ADMI66,FATU2,4,3,14,316,0.286,6.95,1.34,1,program->program,21-0 211-162 976-1,1.408
PREC8,CFAB2,6,4,29,193,0.207,8.24,1.23,1,program->program,370-5 615-38 770-3,1.397
ADMI8,EPRO15,17,16,85,652,0.2,2.36,1.14,1,program->program,77-0 80-82 89-4,1.381
ESTO112,EPRO15,18,14,88,652,0.205,2.41,1.15,1,program->program,120-8 121-43 139-0,1.368
FATU12,PEDI1,7,7,31,489,0.226,3.55,1.21,1,program->program,519-1 521-3 919-0,1.35
ADMI44,PEDI1,5,4,18,489,0.278,4.37,1.3,1,program->program,195-3 573-152 923-0,1.341
PEDI26,ESTO7,5,5,23,308,0.217,5.43,1.23,1,program->program,170-126 593-15 810-0,1.335
CEXT85,PEDI1,3,3,9,489,0.333,5.24,1.4,1,program->program,144-1 878-3 978-0,1.321
EPRO14,EPRO15,6,6,23,652,0.261,3.08,1.24,0,program->program,80-34 104-2 111-1,1.314
PEDI7,EPRO15,14,8,61,652,0.23,2.71,1.19,1,program->program,80-194 363-6 396-0,1.312
CFAB10,FATU2,6,6,30,316,0.2,4.87,1.2,1,program->program,920-0 960-0 971-0,1.303
VEND100,FATU16,3,3,14,139,0.214,11.86,1.25,1,program->program,919-1 934-3 935-1,1.301
FATU4,PEDI44,3,3,15,111,0.2,13.86,1.23,1,program->program,9-0 159-13 211-125,1.298
MIND16,FATU2,4,3,15,316,0.267,6.49,1.31,1,program->program,211-32 850-4 853-3,1.291
ADMI44,COMP13,4,3,18,182,0.222,9.39,1.26,1,program->program,667-6 683-30 966-0,1.287
RHUM9,ESTO7,3,3,11,308,0.273,6.81,1.32,1,program->program,146-0 978-0 983-0,1.271
ESTO13,ESTO25,6,6,30,336,0.2,4.58,1.2,0,program->program,918-0 920-0 923-0,1.266
EPRO39,EPRO15,8,7,34,652,0.235,2.78,1.2,0,program->program,80-12 83-23 357-4,1.244
ESTO131,ESTO25,3,3,11,336,0.273,6.24,1.31,0,program->program,156-2 911-17 932-1,1.224
COMP24,ESTO25,3,3,11,336,0.273,6.24,1.31,1,program->program,918-1 920-0 961-1,1.224
CFAB10,EPRO15,7,7,30,652,0.233,2.75,1.19,1,program->program,119-7 131-1 148-0,1.213
PEDI118,ESTO7,5,5,25,308,0.2,4.99,1.2,1,program->program,252-4 626-17 939-0,1.192
PEDI118,FATU2,5,5,25,316,0.2,4.87,1.2,1,program->program,626-17 939-5 942-3,1.179
VEND100,COMP13,3,3,14,182,0.214,9.05,1.24,1,program->program,919-1 934-3 935-1,1.175
CFAB19,EPRO15,4,4,14,652,0.286,3.37,1.28,1,program->program,80-45 97-1 139-0,1.162
ESTO23,ESTO25,6,4,28,336,0.214,4.9,1.22,0,program->program,250-20 252-6 702-0,1.151
ESTO115,ESTO7,4,4,19,308,0.211,5.26,1.22,0,program->program,471-13 527-0 983-2,1.117
VEND14,EPRO15,7,4,27,652,0.259,3.06,1.24,1,program->program,80-195 521-0 653-12,1.095
VEND100,MPSP2,3,3,14,219,0.214,7.52,1.24,1,program->program,919-1 934-3 935-1,1.091
ESTO20,ESTO25,5,4,24,336,0.208,4.77,1.21,0,program->program,201-19 202-3 259-11,1.087
VEND78,PEDI1,6,5,28,489,0.214,3.37,1.19,1,program->program,211-109 573-121 579-13,1.064
EPRO2,PEDI1,8,5,38,489,0.211,3.31,1.19,1,program->program,80-78 103-0 170-166,1.063
ADMI16,PEDI1,6,4,26,489,0.231,3.63,1.22,1,program->program,107-8 573-45 856-5,1.062
EPRO105,CFAB2,3,3,15,193,0.2,7.97,1.22,1,program->program,170-175 519-2 873-41,1.055
CFAB7,EPRO15,8,7,38,652,0.211,2.48,1.16,1,program->program,96-0 97-1 344-1,1.053
ADMI260,EPRO15,5,5,21,652,0.238,2.81,1.2,1,program->program,75-0 608-1 948-0,1.039
ESTO1,EPRO15,5,5,21,652,0.238,2.81,1.2,1,program->program,151-15 344-19 621-7,1.039
CEXT84,PEDI1,4,4,17,489,0.235,3.7,1.22,1,program->program,144-1 149-4 856-5,1.037
EPRO69,PEDI1,3,3,11,489,0.273,4.29,1.29,1,program->program,80-78 345-20 454-50,1.03
RHUM9,PEDI1,3,3,11,489,0.273,4.29,1.29,1,program->program,146-0 970-2 978-0,1.03
MPSP33,PEDI1,3,3,11,489,0.273,4.29,1.29,1,program->program,454-22 547-31 653-10,1.03
COMP4,FATU2,3,3,13,316,0.231,5.62,1.25,1,program->program,74-0 338-5 678-87,1.023
VEND100,MPSP5,3,3,14,255,0.214,6.46,1.23,1,program->program,919-1 934-0 935-1,1.023
EPRO60,EPRO15,9,4,37,652,0.243,2.87,1.21,0,program->program,80-85 678-68 683-82,1.02
EPRO105,FATU3,3,3,15,211,0.2,7.29,1.22,1,program->program,519-1 930-0 970-0,1.017
ADMI19,EPRO15,3,3,10,652,0.3,3.54,1.31,1,program->program,10-0 21-0 308-2,1.007
EPRO32,PEDI1,4,3,16,489,0.25,3.93,1.25,1,program->program,397-0 562-4 563-17,0.969
TERC10,PEDI1,4,4,18,489,0.222,3.49,1.2,1,program->program,212-29 923-3 965-5,0.958
CFAB65,PEDI1,5,4,23,489,0.217,3.42,1.2,1,program->program,170-126 454-34 570-0,0.957
EPRO18,PEDI1,3,3,12,489,0.25,3.93,1.25,1,program->program,80-128 103-0 383-13,0.921
RHUM9,EPRO15,3,3,11,652,0.273,3.22,1.26,1,program->program,970-2 978-0 981-0,0.89
EPRO105,FATU2,3,3,15,316,0.2,4.87,1.2,1,program->program,454-61 519-1 970-2,0.851
VEND35,PEDI1,4,3,18,489,0.222,3.49,1.2,1,program->program,579-13 588-16 757-43,0.825
ADMI44,EPRO15,4,4,18,652,0.222,2.62,1.18,1,program->program,10-1 151-14 530-0,0.821
PEDI46,EPRO15,5,4,25,652,0.2,2.36,1.14,1,program->program,887-0 891-1 896-5,0.725
ESTO123,EPRO15,3,3,13,652,0.231,2.72,1.19,1,program->program,249-2 459-2 949-0,0.711
PEDI112,PEDI1,3,3,15,489,0.2,3.15,1.17,0,program->program,257-29 527-0 683-16,0.684
