from,to,together,documents,from_baskets,to_baskets,confidence,lift,conviction,cross_module,kind,evidence,score
EPRO28,EPRO15,14,11,41,652,0.341,4.03,1.39,0,program->program,80-3 132-7 349-6,2.658
RECE32,COMP5,5,3,18,46,0.278,46.44,1.38,1,program->program,212-68 262-7 688-10,2.651
MPSP74,MPSP77,7,3,27,9,0.259,221.52,1.35,0,program->program,439-2 441-0 442-1,2.647
ESTO2,FATU2,9,8,30,316,0.3,7.3,1.37,1,program->program,100-0 181-1 194-18,2.639
EPRO58,ESTO7,13,12,50,308,0.26,6.49,1.3,1,program->program,89-94 102-1 146-1,2.637
CUST1,CUST8,4,4,17,24,0.235,75.39,1.3,0,program->program,5-0 6-1 132-7,2.634
CUST1,CUST14,4,4,17,10,0.235,180.94,1.31,0,program->program,132-7 177-69 881-24,2.634
ESTO67,ADMI144,6,4,27,8,0.222,213.61,1.28,1,program->program,152-4 193-3 474-2,2.634
ESTO67,ESTO3,6,4,27,26,0.222,65.73,1.28,0,program->program,175-0 193-7 877-1,2.634
ADMI19,VEND2,3,3,10,39,0.3,59.15,1.42,1,program->program,10-0 21-0 308-0,2.618
ESTO97,ESTO98,3,3,10,3,0.3,769.0,1.43,0,program->program,244-6 469-0 497-7,2.618
CFAB23,CFAB65,3,3,10,23,0.3,100.3,1.42,0,program->program,454-35 615-0 950-1,2.618
ADMI42,VEND7,3,3,10,4,0.3,576.75,1.43,1,program->program,634-13 698-1 994-4,2.618
TERC9,TERC1,3,3,10,33,0.3,69.91,1.42,0,program->program,716-12 717-0 793-35,2.618
CFAB59,EPRO15,31,24,112,652,0.277,3.26,1.27,1,program->program,80-62 97-15 103-1,2.617
COMP7,COMP13,5,5,16,182,0.312,13.2,1.42,0,program->program,663-12 686-7 691-2,2.604
CFAB78,CFAB59,4,4,13,112,0.308,21.13,1.42,0,program->program,120-8 121-25 135-0,2.594
ADMI37,ADMI34,3,3,8,111,0.375,25.98,1.58,0,program->program,211-40 212-83 981-0,2.593
PREC6,PREC7,3,3,10,48,0.3,48.06,1.42,0,program->program,781-4 782-14 786-4,2.592
ESTO20,FATU3,7,6,24,211,0.292,10.63,1.37,1,program->program,159-12 212-100 235-46,2.576
FATU74,PEDI44,9,9,43,111,0.209,14.5,1.25,1,program->program,211-32 519-1 521-3,2.57
CFAB86,CFAB59,5,4,17,112,0.294,20.19,1.4,0,program->program,121-25 132-7 135-0,2.557
MPSP46,ESTO25,20,9,72,336,0.278,6.36,1.32,1,program->program,103-1 121-4 126-0,2.551
ADMI102,FATU3,4,4,11,211,0.364,13.25,1.53,1,program->program,87-11 88-10 799-5,2.543
VEND109,PEDI1,3,3,5,489,0.6,9.44,2.34,1,program->program,383-13 562-10 567-0,2.538
VEND93,PEDI1,3,3,5,489,0.6,9.44,2.34,1,program->program,598-0 652-20 757-43,2.538
FPAG23,PEDI1,3,3,5,489,0.6,9.44,2.34,1,program->program,970-2 974-3 978-0,2.538
CEXT84,FATU2,6,5,17,316,0.353,8.59,1.48,1,program->program,144-4 149-4 211-116,2.529
VEND98,FATU2,6,5,17,316,0.353,8.59,1.48,1,program->program,211-164 258-31 573-101,2.529
TERC10,TERC2,4,4,18,14,0.222,122.06,1.28,0,program->program,211-32 918-1 920-0,2.509
TERC10,TERC3,4,4,18,27,0.222,63.29,1.28,0,program->program,625-2 918-1 920-0,2.509
TERC10,ESTO13,4,4,18,30,0.222,56.96,1.28,1,program->program,918-0 920-0 923-0,2.509
CFAB39,ESTO7,3,3,6,308,0.5,12.48,1.92,1,program->program,132-6 144-1 403-8,2.502
ESTO14,ESTO7,3,3,6,308,0.5,12.48,1.92,0,program->program,235-69 467-1 950-4,2.502
ADMI109,FATU2,3,3,6,316,0.5,12.17,1.92,1,program->program,15-0 799-4 802-0,2.479
PREC7,MPSP2,14,5,48,219,0.292,10.24,1.37,1,program->program,343-98 409-5 881-23,2.477
FATU110,ESTO112,14,7,69,88,0.203,17.73,1.24,1,program->program,44-2 129-1 133-1,2.466
MIND27,MIND30,8,3,34,13,0.235,139.19,1.31,0,program->program,845-6 846-0 849-7,2.453
ESTO7,PEDI1,64,50,308,489,0.208,3.27,1.18,1,program->program,9-0 13-0 72-1,2.445
CUST20,FATU3,3,3,7,211,0.429,15.62,1.7,1,program->program,716-33 933-0 968-2,2.433
CPRO27,CFAB101,3,3,11,34,0.273,61.68,1.37,1,program->program,2-3 511-5 515-4,2.431
ADMI102,ADMI89,3,3,11,5,0.273,419.45,1.37,0,program->program,16-0 799-7 802-0,2.431
ADMI102,ADMI92,3,3,11,4,0.273,524.32,1.37,0,program->program,16-2 799-4 802-0,2.431
FVEN10,ADMI36,3,3,11,16,0.273,131.08,1.37,1,program->program,54-4 534-154 537-21,2.431
VEND50,VEND2,3,3,11,39,0.273,53.78,1.37,0,program->program,75-3 77-3 609-2,2.431
