program;description;menu name;type;auto description (for reference)
ESTO31;;Relatório Análise Consumo Previsto x Realizado;Relatório;ESTO31 – Relatório Análise Consumo Previsto x Realizado. Tipo: Relatório.
CFAB39;;Pedidos do Lote;Programa;CFAB39 – Pedidos do Lote. Tipo: Programa.
CFAB88;;Relatório Produção Diário;Relatório;CFAB88 – Relatório Produção Diário. Tipo: Relatório. Variações no menu: Relatório de Produção Diário c/ Usuário, Data e Hora.
CFAB89;;Relatório Produção Diário;Relatório;CFAB89 – Relatório Produção Diário. Tipo: Relatório. Variações no menu: Relatório de Produção Diário sem Usuário, Data e Hora.
CPRO20;;Padronização - CEP por Processo;Programa;"CPRO20 – Padronização - CEP por Processo. Tipo: Programa. Termos frequentes: apontamentos de produção, ver documentoação anexa, serão considerados padrões, cep para trazer, apontamento dos ceps. Documentos: Cadastro de Processo CEP_Padronização de CEPs - CPRO20; Padronização - CEP por Processo – CPRO20."
RHUM19;;Pré-Cadastro de Funcionários;Programa;RHUM19 – Pré-Cadastro de Funcionários. Tipo: Programa. Variações no menu: Empleados.
ESTO65;;Relatório Produtos;Relatório;"ESTO65 – Relatório Produtos. Tipo: Relatório. Variações no menu: Relatório Produtos a Serem Inventariados; Relatório Produtos Inventário - CRI."
CONT81;;Configuração da Conciliação Contábil;Programa;CONT81 – Configuração da Conciliação Contábil. Tipo: Programa. Termos frequentes: conciliação do estoque, teria um novo, geral consultas conciliação, fiscal contabilidade. Documentos: Conciliação do Estoque– CONT80 e CONT81.
CUST15;;Apropriação dos Materiais Custeio Integrado;Programa;CUST15 – Apropriação dos Materiais Custeio Integrado. Tipo: Programa. Documentos: Relatório Apropriação dos Materiais Custeio Integrado – CUST15.
CFAB176;;CFAB176;Relatório;CFAB176 – CFAB176. Tipo: Relatório.
RECE34;;Retorno Remessa Industrialização de Empresas do Mesmo Grupo;Programa;RECE34 – Retorno Remessa Industrialização de Empresas do Mesmo Grupo. Tipo: Programa.
