program;description;menu name;type;auto description (for reference)
EPRO15;;Estruturação do Produto;Programa;"EPRO15 – Estruturação do Produto. Tipo: Programa. Variações no menu: Estruturação do Produto - Exibe Somente Lista de Materiais Válidos; Estruturação do Produto PGD; Estruturação do Produto (Exibe Lista de Materiais e Processos Inativos); Estruturação do Produto - Henrich (Mostra Mat e Processos Inativos). Termos frequentes: produto engenharia estruturação, fator de conversão, estruturação de produto, engenharia e desenvolvimento, especificação técnica, questão das fotos. Documentos: Estruturação de Produto - EPRO15; Estruturação de Produto - EPRO15 com rotina nova de criação de Produto Acabado pelas Marcas_Variação, para Henrich; Documentação IA_Cadastro de Produto até Faturamento."
PEDI1;;Pedidos de Venda;Programa;"PEDI1 – Pedidos de Venda. Tipo: Programa. Variações no menu: Pedidos de Venda - Normal; Pedidos de Venda Exportação; Pedidos de Venda - Simplificado; PEDI1 - AUGUSTO. Termos frequentes: distribuição pedidos, grade a marcar, lote produção estoque, tipo de entrega, venda alteração, moeda. Documentos: Pedido de Venda_Detalhes Gerais-PEDI1; Lote Produção Estoque - PEDI1; Documentação IA_Cadastro de Produto até Faturamento."
ESTO25;;Plano Abastecimento Materiais;Programa;"ESTO25 – Plano Abastecimento Materiais. Tipo: Programa. Variações no menu: Plano Abastecimento Materiais - Remessa Industrialização; Plano Abastecimento Materiais - Remessa Industrialização c/Nota; Plano Abastecimento Materiais - Requisição -Rel. Qtd Abast; Plano Abastecimento Materiais - Simples Remessa. Termos frequentes: abastecimento materiais requisição, abastecimento materiais simples, materiais remessa industrialização, planejamento necessidade, centro de custo, materiais transferência produção. Documentos: Plano Abastecimento Materiais _Requisições ESTO25; Plano Abastecimento Materiais _ Remessa Industrialização ESTO25; Plano Abastecimento Materiais _Transferencia ESTO25."
FATU2;;Notas Fiscais de Saída;Programa;"FATU2 – Notas Fiscais de Saída. Tipo: Programa. Variações no menu: Notas Fiscais de Saída - CORRETO; Nota Fiscal de Saída - TICKET - KHTA; Notas Fiscais de Saída - MONITOR; Kunden ERP."
ESTO7;;Consulta Estoque Produto;Programa;"ESTO7 – Consulta Estoque Produto. Tipo: Programa. Variações no menu: Consulta Estoque Produto adoc. Termos frequentes: suprimentos estoque consultas, venda reservados, systems. Documentos: Consulta Estoque Produto - ESTO7; Liberação Lote Produção Estoque para Venda Estoque Futuro - MPSP20; Rotina Estoque Futuro Brisa_e Geral."
MPSP5;;Plano de Produção;Programa;"MPSP5 – Plano de Produção. Tipo: Programa. Variações no menu: Plano de Produção - UTILIZA_DATAS_PLANEJAMENTO = S; Plano de Produção - GUILHERME; Plano de Produção - CURTUME; Plano de Produção - UTILIZA_DATAS_PLANEJAMENTO = N - Loc. 16. Termos frequentes: mestre de produção, variação de consumo, variação de grade, tipo calculo lote, data base, utiliza datas planejamento. Documentos: Plano de Produção_Detalhes Gerais - MPSP5; Plano de Produção-MPSP5, “KUNDEN”.“EMAIL_MONITOR_ATM”.“ASSUNTO”; Plano de Produção – MPSP5."
MPSP2;;Planejamento;Programa;"MPSP2 – Planejamento. Tipo: Programa. Variações no menu: Planejamento (DESCONSIDERAR_DATA_BASE = S); Planejamento Kunden; Planejamento - CALÇADOS ROBERTO; Planejamento - 186. Termos frequentes: mestre de produção, recurso base planejamento, configuração recurso base, minutos disponíveis, recursos base planejamento, erro mps datas. Documentos: Planejamento_rotina e dados gerais - MPSP2; Planejamento – MPSP2."
FATU61;;Monitor Notas Fiscais Eletrônicas;Programa;"FATU61 – Monitor Notas Fiscais Eletrônicas. Tipo: Programa. Variações no menu: Fab - Monitor Notas Fiscais Eletrônicas Romaneio; Monitor Notas Fiscais Eletrônicas Romaneio; Monitor Notas Fiscais Eletrônicas (Patch 153); Monitor Notas Fiscais Eletrônicas - Equador. Termos frequentes: notas fiscais eletrônica, carta de correção, primevo, homologação da sefaz, parece que ocorre, investigar um assunto. Documentos: Monitor Notas Fiscais Eletrônicas – FATU61; Monitor Notas Fiscais - NF Eletronica - FATU61; Monitor de Notas Fiscais- MDE – FATU61."
FATU3;;Notas Fiscais de Entrada;Programa;"FATU3 – Notas Fiscais de Entrada. Tipo: Programa. Variações no menu: Notas Fiscais de Entrada FL01; Notas Fiscais de Entrada - Monitor; Notas Fiscais de Entrada - Atelier; Notas Fiscais de Entrada 207 PEGADA."
CFAB2;;Consulta Ordem de Fabricação;Programa;"CFAB2 – Consulta Ordem de Fabricação. Tipo: Programa. Documentos: Consulta Ordem de Fabricação - CFAB2; Chão de Fábrica WEB."
COMP13;;Plano de Necessidades de Compras;Programa;"COMP13 – Plano de Necessidades de Compras. Tipo: Programa. Variações no menu: Plano de Necessidades de Compras - Gera Neces Estab Fat; Plano de Necessidades de Compras - Estab. 115 - Comp. 3; Plano de Necessidades de Compras - Estab. 72099; Plano de Necessidades de Compras - Aniger. Termos frequentes: mrp de compras, pedidos em carteira, necessidades de compra, data compra, compras por estabelecimento, recurso base planejamento. Documentos: Plano Necessidades de Compras_MRP - COMP13; Plano de Necessidade de Compras – COMP13 160419."
PEDI4;;Liberação Pedidos Faturamento;Programa;"PEDI4 – Liberação Pedidos Faturamento. Tipo: Programa. Variações no menu: Liberação Pedidos Faturamento 2; Liberação Pedidos Faturamento - Sem Produção ESTAB 3; Liberação Pedidos Faturamento Conta e Ordem; Liberação Pedidos Faturamento - ADOC. Termos frequentes: pedidos venda faturamento, qtde de volumes, pago pelo destinatário, liberação parcial, filtrar estab, produto na estruturação. Documentos: Liberação Pedidos Faturamento - PEDI4; Documentação IA_Cadastro de Produto até Faturamento."
ADMI6;;Programas;Programa;"ADMI6 – Programas. Tipo: Programa. Variações no menu: Programas - DT. Documentos: Programas – ADMI6; Programas - ADMI6."
COMP3;;Pedidos de Compra;Programa;"COMP3 – Pedidos de Compra. Tipo: Programa. Variações no menu: Pedidos de Compra Serviço; Pedidos de Compra - com alteração liberada; Pedidos de Compra com Cotação; Pedidos de Compra sem Cotação. Termos frequentes: suprimentos compras, thunderbird, data de saída, dias transporte, ordem de compra, compra parâmetro inicialização. Documentos: Pedido de Compras - COMP3; Pedido de Compra – COMP3 - 160419; parte_02."
FATU16;;Gera/Emissão Rótulo Unidade Armazenamento;Programa;"FATU16 – Gera/Emissão Rótulo Unidade Armazenamento. Tipo: Programa. Variações no menu: Gera/Emissão Rótulo Unidade Armazenamento - Pedidos Estofados; Gera/Emissão Rótulo Unidade Armazenamento - Lote Produção Estoque; Gera/Emissão Rótulo Unidade Armazenamento - HKUNTZLER Térmica; Geração/Emissão Rótulo - Henrich. Termos frequentes: rótulos unidades armazenamento, corrugados, agrupa produtos rotulo, layout de rótulo, tipos de corrugadas, gera rótulos pedidos. Documentos: Rotulos_Emissão_Caixas_Corrugadas - FATU16."
CFAB1;;Apontamento de Ordem de Fabricação;Programa;"CFAB1 – Apontamento de Ordem de Fabricação. Tipo: Programa. Variações no menu: Apontamento de Talão; Apontamento de Ordem de Fabricação - Corte; Apontamento de Lote; Apontamento de Ordem de Fabricação - Leitor. Documentos: Rotinas Brisa."
CFAB59;;Cópia de Ordem de Fabricação - Impressão OF;Programa;"CFAB59 – Cópia de Ordem de Fabricação - Impressão OF. Tipo: Programa. Variações no menu: Cópia de Ordem de Fabricação - Curtume; Cópia de Ordem de Fabricação; Cópia de Ordem de Fabricação - Impressão OF CFAB184; Cópia de Ordem de Fabricação - Impressão OF CFAB19_AMC. Termos frequentes: plano mestre, quantidade na ofs, novamente os materiais, maneira de alterarmos, preciso excluir, depuración de talones. Documentos: Copia Ordens de Fabricação - CFAB59."
ADMI34;;Pessoas Físicas/Jurídicas;Programa;"ADMI34 – Pessoas Físicas/Jurídicas. Tipo: Programa. Termos frequentes: cadastros pessoas físicas, proveedores y persona, ticket comb dar, física de otros, criação do monitor, busca cnpj. Documentos: Pessoas Fisicas_Juridicas - ADMI34; Documentação IA_Cadastro de Produto até Faturamento."
PEDI44;;Liberação Pedidos Faturamento;Programa;"PEDI44 – Liberação Pedidos Faturamento. Tipo: Programa. Variações no menu: PGD Lib. Pedidos Faturamento MTZ 115 Loc.5108 LIVRE; Liberação Pedidos Faturamento - ESTAB 713100 - RENAN; PGD Lib. Pedidos Faturamento MTZ 116 Loc.5109 [Processo Novo]; Liberação Pedidos Faturamento CRST - EMP2. Termos frequentes: pedidos venda faturamento, mínimo de parcela, permite faturamento, fazendo a validação, vendas e distribuição, rotulo liber atm. Documentos: Liberação Pedidos Faturamento Rotulos - PEDI44."
RECE2;;Operações;Programa;"RECE2 – Operações. Tipo: Programa. Variações no menu: Operações - Recebimento; Operações - Faturamento; Operações Faturamento; Operações Recebimento. Termos frequentes: operações de faturamento, suprimentos recebimento cadastros, operação fiscal, reflete, exige localização, industrialização efetuada. Documentos: Operação - RECE2."
ESTO112;;Plano Abastecimento Materiais e Controle de Ordem de Fabricação;Programa;"ESTO112 – Plano Abastecimento Materiais e Controle de Ordem de Fabricação. Tipo: Programa. Variações no menu: Plano Abastecimento Materiais e Controle de Ordem de Fabricação (Marcio, sem Medição); Plano Abastecimento Materiais e Controle de Ordem de Fabricação (Soubach); Plano Abast Materiais e Controle de OF C/APONT (ACABADO); Plano Abast Materiais e Controle de OF S/APONT - LOC 16. Termos frequentes: controle de ofs, gera com base. Documentos: Plano Abastecimento Materiais e Controle de Ordem de Fabricação - ESTO112."
ADMI8;;Parâmetros;Programa;"ADMI8 – Parâmetros. Tipo: Programa. Termos frequentes: administração cadastros parâmetros. Documentos: Parâmetros – ADMI8; MANUAL_NOVO_MONITOR."
CFAB90;;Apontamento MultiTarefa - Curtume;Programa;"CFAB90 – Apontamento MultiTarefa - Curtume. Tipo: Programa. Variações no menu: Apontamento MultiTarefa - Curtume.; Apontamento Curtume; Apontamento MultiTarefa - Curtume - SECAGEM (pelo Classificar); Apontamento MultiTarefa - Curtume - RECURTIR - FULÃO 01 RECURTIMENTO WELL. Termos frequentes: desvio, apont sem funcionario, multi tarefa curtume, qtde primária, sempre usar enter, funcionário. Documentos: Apontamento MultiTarefa – CFAB90; Instruções programa CFAB90."
FVEN5;;Cálculo Preço de Venda - Calçado;Programa;"FVEN5 – Cálculo Preço de Venda - Calçado. Tipo: Programa. Variações no menu: Cálculo Preço de Venda - Curtume; Cálculo Preço de Venda - Rel.Excel ADOC/Malu; Cálculo Preço de Venda - Calçado c/Preço Estratégico; Cálculo Preço de Venda - Brisa."
MPSP46;;Ordem de Fabricação - Geração e Abast;Programa;"MPSP46 – Ordem de Fabricação - Geração e Abast. Tipo: Programa. Variações no menu: Ordem de Fabricação - Geração e Abast - JEAN; Ordem de Fabricação - Geração e Abast (Acabamento); Ordem de Fabricação - Geração e Abast - 161; Ordem de Fabricação - Geração e Abast (FRIGORIFICO MIX)."
RECE7;;Retornos de Remessa;Programa;"RECE7 – Retornos de Remessa. Tipo: Programa. Variações no menu: Retornos de Remessa Industrialização - Com Apontamento Produção, Cat Pedido 6; Retornos de Remessa Industrialização - Atelier Ped.cat.6; Retornos de Remessa Industrialização - Sem Apontamento Produção; Retornos de Remessa Beneficiamento Categoria Pedido 6. Termos frequentes: suprimentos recebimento notas, retorno de remessa, remessa industrialização. Documentos: Retornos de Remessa Industrialização – RECE7."
COMP14;;Cotações Código Produto;Programa;"COMP14 – Cotações Código Produto. Tipo: Programa. Variações no menu: Cotações Compra Estrutura Produto Sem Condição; Cotação; Cotações Código Estrutural; Cotações Compra Produto Com Condição. Termos frequentes: suprimentos compras cotações, pedidos en cotizaciones, ticket com funcionalidad, baenamora, funcionalidade, botón de alterar. Documentos: Cotações - COMP14; Cotações Terceirizados  - COMP14."
FATU153;;Liberação Pedidos Faturamento por Rota Estab 3;Programa;"FATU153 – Liberação Pedidos Faturamento por Rota Estab 3. Tipo: Programa. Variações no menu: Liberação Pedidos Faturamento por Rota Estab 3 - Emissão LOCAL 122; Liberação Pedidos Faturamento por Rota RODRIGO; Liberação Pedidos Faturamento por Rota Estab 3 - Ñ OLHA PAINEL; Liberação Pedidos Faturamento por Rota Estab 3 - Lançamento. Termos frequentes: vendas e distribuição, lincros, produzido na real, relatório detalhado, situação da letavo, liberação de pedidos. Documentos: Liberação Pedidos Faturamento por Rota – FATU153."
FATU110;;Retorno de Industrialização Depósito Disponível;Programa;"FATU110 – Retorno de Industrialização Depósito Disponível. Tipo: Programa. Variações no menu: Retorno de Industrialização Depósito Disponível - LIBERAR_PED_SEM_PRODUCAO = N; Retorno de Ind. Depósito Disp. - LIBERAR_PED_SEM_PRODUCAO = N; Retorno de Ind. Depósito Disp. - LIBERAR_PED_SEM_PRODUCAO = S; Retorno de Industrialização Dep Disp - TST. Termos frequentes: industrialização deposito disponível, industrialização deposito disponivel, abastecimentos de depósito, nfs item, parciais do bloco, retorno nos blocos. Documentos: Retorno de Industrialização Depósito Disponível – FATU110."
CPRO4;;Lançamentos - Produção;Programa;"CPRO4 – Lançamentos - Produção. Tipo: Programa. Termos frequentes: lançamento de cep, condenas, configurado para atualizar, implantação da wellour, vinculados ao apontamento, gerou e demais. Documentos: Lançamentos de CEP - CPRO4; Rotina CPRO3,CPRO22,CPRO23,CPRO27,CPRO24,CPRO4,RECE50, Condenas, Laudos, Gera Contra Nota."
FATU6;;Devoluções de Venda;Programa;"FATU6 – Devoluções de Venda. Tipo: Programa. Variações no menu: Devoluções de Empréstimo; Devoluções de Venda - Estab Padrão => 13- Não Controla Rótulo; Genera Nota Credito - Peru - Devol de Ventas; Devoluções de Venda LCTO. Termos frequentes: devolução de venda, suprimentos recebimento notas, área de qualidade, evento, emissão e lançamento, vista com guilherme. Documentos: Devolução de Venda - FATU6 e FATU104."
PEDI2;;Categorias de Pedido;Programa;"PEDI2 – Categorias de Pedido. Tipo: Programa. Variações no menu: Categorias de Pedido - Venda; Categorias de Pedido - Lote Estoque; Categorias de Pedido - Outros. Termos frequentes: tecnica da tabela, exige analise, vez que pegada, venda sem cond. Documentos: Categoria de Pedido - PEDI2."
PEDI7;;Emissão de Etiqueta por Unidade de Produto por Plano de Produção;Programa;"PEDI7 – Emissão de Etiqueta por Unidade de Produto por Plano de Produção. Tipo: Programa. Variações no menu: Emissão de Etiqueta por Unidade de Produto por Plano de Produção(Termotransferência); Emissão de Etiqueta por Unidade de Produto por Plano de Produção CARMIM (Termotransferência); Emissão de Etiquetas por Unidade de Produto por Plano de Produção(Amostras); Emissão de Etiqueta por Unidade de Produto por Plano de Produção(Gráfico/Matricial) - Henrich PDV. Termos frequentes: distribuição pedidos etiquetas, pedi pegada, respectiva grade, emissão de etiquetas, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, criar nova versão. Documentos: Etiquetas por Unidade de Produto - PEDI7 - PEDI142."
ESTO4;;Requisição Informada;Programa;"ESTO4 – Requisição Informada. Tipo: Programa. Variações no menu: Requisição Informada - PEG; Requisição Informada - Habilita O.F.; Requisição Informada - Exige Confirmação/Exclusão; Requisição com Ordem de Serviço. Termos frequentes: centro de custo, estoque lançamentos requisição. Documentos: Requisição Informada – ESTO4."
PEDI3;;Cancelamento de Entrega Pedido;Programa;"PEDI3 – Cancelamento de Entrega Pedido. Tipo: Programa. Variações no menu: Cancelamento de Entrega Pedido - MARTIN; Cancelamento de Entrega Pedido - Validações. Termos frequentes: distribuição pedidos, cancelar a entrega, ofs de semi-acabados, rotina não cancela, parâmetro do gestão, distorcendo o estoque. Documentos: Cancelamento de Pedidos e Entregas - PEDI3."
ADMI35;;Clientes;Programa;ADMI35 – Clientes. Tipo: Programa. Variações no menu: Clientes - LETI. Termos frequentes: administração cadastros clientes, vincular o representante, resumo cadastro, criação de novo, inspeção, tenha a nova. Documentos: Clientes - ADMI35.
ADMI63;;Agendador de Tarefas;Programa;ADMI63 – Agendador de Tarefas. Tipo: Programa. Documentos: Agendador de tarefas - ADMI63.
FATU146;;Configuração de Serviços de Documentos Fiscais Eletrônicos (DF-e);Programa;"FATU146 – Configuração de Serviços de Documentos Fiscais Eletrônicos (DF-e). Tipo: Programa. Termos frequentes: distribuição faturamento cadastros, dados adicionais, configurações de notas, fiscal e danfe. Documentos: Configuração de Serviços de Documentos Fiscais Eletrônicos (DF-e) - FATU146; MANUAL_NOVO_MONITOR."
PREC9;;Calendário Recursos;Programa;PREC9 – Calendário Recursos. Tipo: Programa.
FATU124;;Importação de Notas Fiscais de Entrada por XML;Programa;"FATU124 – Importação de Notas Fiscais de Entrada por XML. Tipo: Programa. Variações no menu: Importação de Notas Fiscais de Entrada por XML com Romaneio; Fab - Importação de Notas Fiscais de Entrada por XML; Ate - Importação de Notas Fiscais de Entrada por XML; Importação de Notas Fiscais de Entrada por XML - Emp 210. Termos frequentes: problema de internet, nenhum documento encontrado, importa xml nfe, suprimentos recebimento, importar a nf-e. Documentos: Importação de Notas Fiscais de Entrada por XML - FATU124."
EPRO58;;Estruturação de Produtos - Inventário;Programa;EPRO58 – Estruturação de Produtos - Inventário. Tipo: Programa. Documentos: Estruturação de Produtos – Inventário – EPRO58.
PREC7;;Processos - Calcula Meta sobre Eficiência;Programa;"PREC7 – Processos - Calcula Meta sobre Eficiência. Tipo: Programa. Variações no menu: Processos - Parametrizado; Processos - Calcula Meta sobre Eficiência -JMB; Processos - Calcula Eficiencia sobre Meta c/ TPC; Processos - Calcula Eficiencia sobre Meta. Termos frequentes: recursos processos processos, select, ficha de operações. Documentos: Processos - PREC7."
CFAB85;;Relatório de Rendimento com Custo;Programa;"CFAB85 – Relatório de Rendimento com Custo. Tipo: Programa. Variações no menu: Relatório de Rendimento com Custo - Marcio; Relatório de Rendimento com Custo FRIGO; Relatório de Rendimento com Custo - Krumenauer. Termos frequentes: napa asa, padrão para curtume, encerramento de ordem, matéria prima couro, custo fixo, rendimento com custos. Documentos: Relatório de Rendimento com Custo - CFAB85."
COMP5;;Recebimento de Pedidos de Compra;Programa;"COMP5 – Recebimento de Pedidos de Compra. Tipo: Programa. Variações no menu: Recebimento de Pedidos de Compra Localização 76; Recebimento de Pedidos de Compra - Peru; Recebimento de Pedidos de Compra - REMISSION; Recebimento de Pedidos de Compra - Peru [PADRAO]. Termos frequentes: compra rotina, suprimentos compras, conversão do fornecedor, ajustar a mensagem. Documentos: Recebimento Pedidos de Compras - COMP5; Recebimento de Pedidos de Compra – COMP5 - 160419; parte_02."
ESTO15;;Livro Inventário;Programa;ESTO15 – Livro Inventário. Tipo: Programa. Variações no menu: Livro Inventário - 64 Bits. Termos frequentes: custo médio, relatórios livro inventário, unidades, livro inventario, posição do estoque, seleção especial. Documentos: Livro Inventario - ESTO15.
EPRO28;;Aprovação p/Cálculo de Custos;Programa;"EPRO28 – Aprovação p/Cálculo de Custos. Tipo: Programa. Variações no menu: Desenvolvimento de Produto; Aprovação p/Cálculo de Custos s/ Parâmetro de Categoria; Aprovação p/Cálculo de Custos - Marcio; Aprovação p/Cálculo de Custos - Roberto. Termos frequentes: preço de venda, produto engenharia aprovação. Documentos: Aprovação de Produto para Cálculo de Custos - EPRO28."
ADMI1;;Usuários;Programa;ADMI1 – Usuários. Tipo: Programa. Termos frequentes: perguntando porque acho, account unlock, alterar senha, cibele. Documentos: Usuários - ADMI1.
FATU74;;Gera NF pelo;Programa;"FATU74 – Gera NF pelo. Tipo: Programa. Variações no menu: Gera NF pelo Rótulo; Gera NF pelo Rótulo - Estab3 - Loc 11; PGD Gera NF pelo Rótulo MTZ 115 Loc.5118; Gera NF pelo Rótulo - Estab3 - Loc 16. Termos frequentes: notas fiscais rótulo, informado o atributo, gera notas fiscais, integrar com estoque, geração de nota, criado anteriormente. Documentos: Gera Nota Fiscal Rótulo - FATU74; Geração NFS Transferência pelo FATU74 sem integrar com Estoque."
VEND2;;Lista de Preço (Estrutural);Programa;"VEND2 – Lista de Preço (Estrutural). Tipo: Programa. Variações no menu: Lista de Preço (Produto); 3 Lista de Preço (Estrutural) - (AW); 4 Lista de Preço (Produto) - (AW); Lista de Preço (Estrutural) - ANIGER."
EPRO2;;Categoria;Programa;EPRO2 – Categoria. Tipo: Programa. Termos frequentes: sabes como transformar. Documentos: Categoria – EPRO2.
PEDI142;;Emissão de Etiqueta por Unidade de Produto;Programa;"PEDI142 – Emissão de Etiqueta por Unidade de Produto. Tipo: Programa. Variações no menu: Emissão de Etiqueta por Unidade de Produto - AK; Emissão de Etiqueta por Unidade de Produto - Sunset; Emissão Etiqueta Awana. Termos frequentes: distribuição pedidos etiquetas, pedi pegada, respectiva grade, emissão de etiquetas, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, criar nova versão. Documentos: Etiquetas por Unidade de Produto - PEDI7 - PEDI142."
EPRO60;;Estruturação de Produtos - Compras;Programa;EPRO60 – Estruturação de Produtos - Compras. Tipo: Programa. Documentos: Estruturação de Produtos – Compras – EPRO60.
ESTO129;;Plano Abastecimento Materiais - Requisição - Controle de Lote;Programa;"ESTO129 – Plano Abastecimento Materiais - Requisição - Controle de Lote. Tipo: Programa. Variações no menu: Plano Abastecimento Materiais - Requisição - Controle de Lote - patch 208 (sem validação); Plano Abastecimento Materiais - Rem Industrialização- Controle de Lote; Plano Abastecimento Materiais - Requisição - Controle de Lote - Menos Parâmetros; Plano Abastecimento Materiais - Requisição Depósito Disponível ESTO129. Termos frequentes: industrialização efetuada. Documentos: Plano Abastecimento Materiais - Requisição - Controle de Lote – ESTO129."
CFAB7;;Emissão Ordem de Fabricação;Programa;"CFAB7 – Emissão Ordem de Fabricação. Tipo: Programa. Variações no menu: Emissão Ordem de Fabricação- CALI; Emissão Ordem de Fabricação - PREPACK PIAGUI; Emissão Ordem de Fabricação Curtume (TAPETE) - RESUMIDA; Emissão Ordem de Fabricação - LUTHEUZ."
FATU104;;Devoluções de Venda;Programa;"FATU104 – Devoluções de Venda. Tipo: Programa. Variações no menu: Devoluções de Venda EMIS- fatu104 - FL01 116; Devoluções de Venda LCTO FATU104 - MTZ 115; Devoluções de Venda EMIS- fatu104 - MTZ 115 - Obriga Evento; Devoluções de Venda LCTO- fatu104 - com estab. Termos frequentes: devolução de venda, suprimentos recebimento notas, área de qualidade, evento, emissão e lançamento, vista com guilherme. Documentos: Devolução de Venda - FATU6 e FATU104."
CFAB24;;Posição do Plano de Produção;Programa;CFAB24 – Posição do Plano de Produção. Tipo: Programa. Variações no menu: Posição do Plano de Produção (KDR).
ADMI84;;Coletores;Programa;ADMI84 – Coletores. Tipo: Programa. Documentos: Coletores – ADMI84.
EPRO16;;Estruturação do Produto - Aniger;Programa;"EPRO16 – Estruturação do Produto - Aniger. Tipo: Programa. Variações no menu: XXX Estruturação do Produto - Aniger - EPRO16 - INATIVOS; Estruturação do Produto - Aniger - EPRO16; Estruturação do Produto - Aniger - MARTIN; Estruturação de Produtos - Aniger."
CFAB101;;Analise de Abate Frigorifico - 33443;Programa;"CFAB101 – Analise de Abate Frigorifico - 33443. Tipo: Programa. Variações no menu: Analise de Rendimento Frigorifico; Analise de Abate Frigorifico - 33443 - Emis; Analise de Abate Frigorifico - 33443 - Lcto; Analise de Compras Matéria-Prima Couro / Fornecedor. Termos frequentes: matéria-prima couro fornecedor, fábrica relatório gerenciais, analise de compras, produção por classificação, couro fornecedor alteração, inspeção de recebimento. Documentos: Relatório Analise de Compras Matéria-Prima Couro - Fornecedor – CFAB101; Relatório Analise de Abate_Frigorífico – CFAB101; Relatório Analise de Rendimento_Frigorífico - CFAB101."
ESTO71;;Gera Nota Fiscal Abastecimento Materiais - Remessa Industrialização;Programa;"ESTO71 – Gera Nota Fiscal Abastecimento Materiais - Remessa Industrialização. Tipo: Programa. Variações no menu: Gera Nota Fiscal Abastecimento Materiais - Transferência para Produção; Gera Nota Fiscal Abastecimento Materiais - Simples Remessa; Transferência para Produção(material); Gera Nota Fiscal Abastecimento Materiais - Remessa Industrialização - Simão. Termos frequentes: fiscal remessa beneficiamento. Documentos: Gera Nota Fiscal Remessa Beneficiamento - ESTO71."
EPRO39;;Alteração Lista Material de Produtos;Programa;EPRO39 – Alteração Lista Material de Produtos. Tipo: Programa. Termos frequentes: material de produto, dando as mensagens, engenharia e desenvolvimento, vou encaminhar, produtos já utilizados, curtume interna. Documentos: Alteração Lista Materiais de Produtos - EPRO39.
ADMI5;;Configuração de Tabela;Programa;ADMI5 – Configuração de Tabela. Tipo: Programa. Termos frequentes: respectiva empresa, unique, validação na questão, lançamentos de notas, criar uma unique. Documentos: Configuração de Tabela - ADMI5.
MIND27;;Solicitação de Serviços de Manutenção;Programa;"MIND27 – Solicitação de Serviços de Manutenção. Tipo: Programa. Variações no menu: Ordem de Serviços de Manutenção; Solicitação de Serviços de Manutenção - KRM; Solicitação/Ordem de Serviços de Manutenção (Controle Atividade); Solicitação/Ordem de Serviços de Manutenção. Termos frequentes: solicitado informado, usar o manutenção, oficial calzado piagui, eles querem começar, feitos em referente, máquinas acessórios. Documentos: Solicitação de Serviços de Manutenção – MIND27."
EPRO61;;Estruturação do Produto - Venda;Programa;EPRO61 – Estruturação do Produto - Venda. Tipo: Programa. Documentos: Estruturação de Produto – Venda - EPRO61.
TERC1;;Remessa;Programa;"TERC1 – Remessa. Tipo: Programa. Variações no menu: Remessa.; Remessa (Reenvio); Remessa (Código de Barras); Remessa - Terceirização. Termos frequentes: apontamento terc, remessa conserto. Documentos: Remessa – TERC1."
ADMI122;;Configuração Diretórios Servidor;Programa;"ADMI122 – Configuração Diretórios Servidor. Tipo: Programa. Termos frequentes: diretório padrão. Documentos: Configuração Diretório Padrão – ADMI122; MANUAL_NOVO_MONITOR."
ESTO41;;Geração Registro Produtos;Programa;"ESTO41 – Geração Registro Produtos. Tipo: Programa. Variações no menu: Geração Registro Produtos Prontos; Geração Registro Produtos em Fabricação. Termos frequentes: produtos em fabricação, estou tentando montar, gerar os produtos, sistema não gera, novos apontamentos deixarão, estoque em elaboração. Documentos: Geração Registro Produtos em Fabricação - ESTO41."
COMP39;;Consulta Plano de Necessidades de Compras;Programa;COMP39 – Consulta Plano de Necessidades de Compras. Tipo: Programa. Termos frequentes: suprimentos compras consultas. Documentos: Consulta Plano de Necessidades de Compras – COMP39.
RECE50;;Gera Contra Nota Fiscal de Entrada - Frigorífico;Programa;"RECE50 – Gera Contra Nota Fiscal de Entrada - Frigorífico. Tipo: Programa. Variações no menu: Gera Contra Nota Fiscal de Entrada - Frigorífico - valor abate. Termos frequentes: recebimentos notas fiscais, serem demonstrados, aproveitamento condicional, configuração de eventos, peso vivo, ajustada a rotina. Documentos: Gera Contra Nota Fiscal de Entrada - Frigorífico - RECE50; Rotina CPRO3,CPRO22,CPRO23,CPRO27,CPRO24,CPRO4,RECE50, Condenas, Laudos, Gera Contra Nota."
ESTO69;;Encerramento Estoque;Programa;ESTO69 – Encerramento Estoque. Tipo: Programa. Termos frequentes: encerramento de estoque, depois do encerramento, tabela encerr qtd, baixas bom, reabrir o estoque, smart. Documentos: Encerramento Estoque – ESTO69.
ESTO73;;Ajuste Divergências Estoque X Inventário CRI;Programa;"ESTO73 – Ajuste Divergências Estoque X Inventário CRI. Tipo: Programa. Variações no menu: Ajuste Divergência Estoque X Inventariado - CRI; Ajuste Divergências Estoque X Inventário CRI ADOC. Termos frequentes: ajuste divergência estoque, inventariado cri, referente estos productos, podrías definir. Documentos: Ajuste Divergência Estoque X Inventariado – ESTO73."
PEDI14;;Importação Pedidos de Venda - EDI;Programa;"PEDI14 – Importação Pedidos de Venda - EDI. Tipo: Programa. Variações no menu: Importação Pedidos de Venda - EDI Vale; Importação Pedidos de Venda - EDI (LTZ) - VEDDER; Importação Pedidos de Venda - EDI Termotêxtil; Importação Pedidos de Venda - EDI PIAGUI (old - solido). Termos frequentes: moa, ftx zzz atm, salto abs pintado, tax oth, pri ntp, operation fileopen failed. Documentos: Importação de Pedidos de Venda EDI –  PEDI14."
