"PROGRAMA","DESCRICAO","TIPO"
"ADMI70","Importação Contas a Receber","Programa"
"ADMI71","Importação Pessoa Fisíca/Juridica","Programa"
"CUST1","Tarifas","Programa"
"CBAN13","Livro Caixa","Programa"
"CBAN18","Relatório Controle Cheque de Terceiros","Programa"
"CBAN27","Relatório Livro Caixa","Relatório"
"CBAN28","Relatório Livro Caixa (Saldo por Linha)","Relatório"
"COMP15","Consulta Ordens de Fabricação por Pedido","Programa"
"CONT33","Relatório de Contabilização","Relatório"
"CONT34","Relatório de Totais de Documentos para Contabilização","Relatório"
"CREC37","Instruções Bancárias","Programa"
"CONT35","Relatório de Totais por Conta Contábil para Contabilização","Relatório"
"CREC34","Relatório Retorno Cobrança Escritural","Relatório"
"EPRO26","Local Armazenagem","Programa"
"LFIS33","Geração Arquivo GIA Mensal","Programa"
"VEND32","Histórico de Vendas","Programa"
"FATU13","Reemissão Notas Fiscais Saída - Transf. ICMS","Programa"
"FATU21_ANTONIELLE","Relatório Notas Fiscais Matricial - Transf. ICMS","Relatório"
"CPAG35","LOG Retorno Cobrança Escritural","Relatório"
"CPAG35","LOG Retorno Pagamento Escritural","Relatório"
"CPAG35","LOG Remessa Cobrança Escritural","Relatório"
"CPAG35","LOG Remessa Pago Escritural","Relatório"
"LFIS28","Geração Arquivo SINTEGRA","Programa"
"EPRO27","Cartelas","Programa"
"ADMI90","001 -Rota de Transporte","Programa"
"PATR4","Cálculo Depreciação","Programa"
"EPRO76","Configurador de Produto","Programa"
"TERC8","Emissão Extrato","Programa"
"TERC9","Emissão Extrato","Relatório"
"TERC2","Retorno (Com Apontamento Produção)","Programa"
"PEDI4","Liberação Pedidos Faturamento 2","Programa"
"ADMI76","Clientes por Representante","Programa"
"FATU15_BRISA","Relatório Notas Fiscais Matricial","Relatório"
"CPAG3","Ocorrências","Programa"
"FATU34","Relatório Faturamento","Programa"
"FATU35","Relatório Faturamento","Relatório"
"LFIS29","Resumo Impostos Registro de Entrada","Programa"
"LFIS31","Resumo Impostos Registro de Saída","Programa"
"LFIS32","Resumo Impostos Registro de Saída","Relatório"
"PREC16","Relatório Eficiência Diária","Programa"
"PREC18","Relatório Eficiência","Programa"
"CBAN29","Relatório Extrato Caixa/Bancos (PLANET)","Programa"
"CBAN30","Relatório Extrato Caixa/Bancos","Relatório"
"FATU20","Notas Fiscais de Saída - Transf. ICMS","Relatório"
"CFAB22","Apontamento de Rótulos (Processo 191)","Programa"
"ESTO26","Relatório Plano Abastecimento Materiais - Remessa Industrialização","Relatório"
"ESTO26","Relatório Plano Abastecimento Materiais - Simples Remessa","Relatório"
"ESTO26","Relatório Plano Abastecimento Materiais - Necessidades","Relatório"
"ESTO26","Relatório Plano Abastecimento Materiais - Transferência Produção","Relatório"
"FATU13","Reemissão Notas Fiscais Saída","Programa"
"FVEN1","2-Configurações","Programa"
"LFIS2","Registro de Observações","Programa"
"RECE9","Reemissão Notas Fiscais Entrada","Programa"
"TERC3","Posição Remessa/Retorno","Programa"
"TERC6_CADEIN","Posição Remessa para Industrialização","Relatório"
"TERC7","Posição Remessa para Industrialização (Saldo)","Relatório"
"CFAB10","Estorno Apontamento de Talão","Programa"
"CFAB17","Emissão Cartão Componente - PEGADA","Programa"
"FATU14_TECNOCALZA_RETENCAO","Relatório Notas Fiscais Matricial","Relatório"
"COMP18","Plano de Necessidades de Compras","Relatório"
"FATU15_HKUNTZLER","Relatório Notas Fiscais Matricial","Relatório"
"CFAB18_PEGADA","Emissão Cartão Componente","Relatório"
"ADMI77","Importação de Bens e Lançamentos","Programa"
"CFAB23","Exclusão Apontamento de Rótulos (Processo 1195)","Programa"
"VEND34","Reajuste Lista de Preço","Programa"
"PATR5","Baixa","Programa"
"LFIS19","Código de Emitentes","Relatório"
"LFIS14","Inconsistências Registro de Entradas","Programa"
"LFIS15","Inconsistências Registro de Entradas","Relatório"
"LFIS16","Inconsistências Registro de Saídas","Programa"
"LFIS17","Inconsistências Registro de Saídas","Relatório"
"LFIS9","Registro de Saídas","Relatório"
