cluster_a,cluster_b,links,keywords_a,keywords_b
143,146,9,"desconto, comissão, preços","proposta, ivendre, representante"
96,97,9,"coleção, estruturação produto, sub","engenharia, desenvolvimento produto, estruturação produto"
39,88,9,"controle lote, lotes, requisições","cri, ajuste, divergência"
106,107,9,"apontamento, web, coletor","apontamento rótulos, fábrica lançamentos, lançamentos apontamento"
72,111,9,"mrp, material, data cadastro","grade marcar, simplificado, venda"
93,94,9,"encerramento, encerrado, períodos","custo médio, unitário, suprimentos estoque"
89,91,9,"estoque futuro, localização, produção estoque","posição estoque, relatório, saldos rótulo"
118,150,9,"custo total, napa asa, asa white","remessa, terceirização, industrialização"
154,155,9,"fornecedor, entrada, ontem","smart, sefaz, nfs"
155,159,9,"smart, sefaz, nfs","aline, sefaz, monitor"
51,159,9,"email, envio, mails","aline, sefaz, monitor"
145,149,9,"triangular, industrialização, beneficiamento","industrialização, retorno, remessa"
101,140,9,"recursos, filtro, semana","recurso, planejamento, meta"
131,134,9,"android, app, ivendre","quantidade peças, ivendre, bonés"
38,62,9,"lote, fracionamento, fracionar","painel, web, expedição"
84,85,9,"compras, comprador, alçada","pré, recebimento, pre"
146,147,8,"proposta, ivendre, representante","ivendre, fotos, ios"
56,81,8,"kunden systems, ocorrida, implantação","ikronos, api, industrial manufatura"
115,122,8,"apontamento, multitarefa, desvio","emissão ordem, chão, ordem fabricação"
11,12,8,"tag, obrig rejeição, chave acesso","alíquota, cbs, ibs"
117,118,8,"rendimento, curtume, custo","custo total, napa asa, asa white"
41,108,8,"custeio, custo, recálculo","abastecimento, requisição, materiais"
44,116,8,"devolução, devoluções, cep","estorno, cancelamento, devolução"
78,89,8,"and, select, nvl","estoque futuro, localização, produção estoque"
92,108,8,"reclassificação, transferência localizações, lançamentos transferência","abastecimento, requisição, materiais"
72,133,8,"mrp, material, data cadastro","semi, ofs, acabado"
133,135,8,"semi, ofs, acabado","lote, balanceado, cálculo"
69,105,8,"largura, produção agrupado, plano produção","cotação, compras, fornecedor"
48,77,8,"ora, erro, mensagem","cancelamento saldo, saldo embarque, reserva"
112,132,8,"data base, fecha base, plano produção","eficiência, minutos, turno"
32,33,8,"dígitos, ean, contentor","gtin, ean, txt"
28,33,8,"importação, edi, arquivo","gtin, ean, txt"
100,129,8,"instrução, embarque, caixas","entrega, categoria, venda"
53,63,8,"etiqueta, impressa, embalagem","etiqueta, primevo, letavo"
98,113,8,"rota, pedidos faturamento, liberação pedidos","risco, crédito, analise"
22,29,8,"detalhamento teste, login, user","cnpj, pessoa, jurídicas"
22,143,8,"detalhamento teste, login, user","desconto, comissão, preços"
23,24,8,"http, frigorifico, link","user, acesso base, login"
84,104,8,"compras, comprador, alçada","cancelamento, entrega, cancelar"
64,148,7,"nao, transcricao, deve","fiscais, nota, fiscal"
49,50,7,"senha, alter, caio","sys, camino, oracle"
50,51,7,"sys, camino, oracle","email, envio, mails"
48,50,7,"ora, erro, mensagem","sys, camino, oracle"
106,115,7,"apontamento, web, coletor","apontamento, multitarefa, desvio"
76,99,7,"encerramento, finalização, proceso","back flush, flush materiais, apontamento"
99,122,7,"back flush, flush materiais, apontamento","emissão ordem, chão, ordem fabricação"
121,125,7,"exportação, packing, list","faturamento, expedição, rotulo"
99,108,7,"back flush, flush materiais, apontamento","abastecimento, requisição, materiais"
77,126,7,"cancelamento saldo, saldo embarque, reserva","faturamento, liberação, pedidos"
145,150,7,"triangular, industrialização, beneficiamento","remessa, terceirização, industrialização"
140,151,7,"recurso, planejamento, meta","fabricação geração, plano mestre, mestre produção"
41,48,7,"custeio, custo, recálculo","ora, erro, mensagem"
15,108,7,"tolerância, pis cofins, tolerancia","abastecimento, requisição, materiais"
148,156,7,"fiscais, nota, fiscal","entrada, nota, fiscal"
142,158,7,"impressora, impressão, monitor","monitor, fiscais, notas"
6,78,7,"satra, ticket, arquivo","and, select, nvl"
133,140,7,"semi, ofs, acabado","recurso, planejamento, meta"
101,108,7,"recursos, filtro, semana","abastecimento, requisição, materiais"
73,129,7,"mínimo, parcela, categoria","entrega, categoria, venda"
5,43,7,"contra nota, gera contra, entrada frigorífico","cep, inspeção, lançamento"
62,63,7,"painel, web, expedição","etiqueta, primevo, letavo"
2,105,7,"moeda, cotação, cotações","cotação, compras, fornecedor"
103,104,7,"embarque parcial, reserva, aceita embarque","cancelamento, entrega, cancelar"
28,103,7,"importação, edi, arquivo","embarque parcial, reserva, aceita embarque"
21,22,7,"publisher, query, report","detalhamento teste, login, user"
22,138,7,"detalhamento teste, login, user","ivendre, semana, carrinhos"
22,25,7,"detalhamento teste, login, user","job, logs, ção"
20,45,6,"controle embarque, embarque web, rótulos","armazenagem, local, rótulos"
20,126,6,"controle embarque, embarque web, rótulos","faturamento, liberação, pedidos"
79,146,6,"marca, conjunto, cor","proposta, ivendre, representante"
90,123,6,"material, materiais, componente","cartão, componente, emissão"
69,133,6,"largura, produção agrupado, plano produção","semi, ofs, acabado"
90,108,6,"material, materiais, componente","abastecimento, requisição, materiais"
22,107,6,"detalhamento teste, login, user","apontamento rótulos, fábrica lançamentos, lançamentos apontamento"
99,140,6,"back flush, flush materiais, apontamento","recurso, planejamento, meta"
108,114,6,"abastecimento, requisição, materiais","unidade medida, primária, qtde"
52,106,6,"rotulo, rótulo, operação","apontamento, web, coletor"
122,141,6,"emissão ordem, chão, ordem fabricação","tinta, formula, acabamento"
19,118,6,"fpv, preço venda, cálculo","custo total, napa asa, asa white"
