cluster,size,keywords,top_module,module_purity,modules,record_types,documents,largest_doc_share,cohesion,example
28,65,"importação, edi, arquivo, importar, venda, moa",PEDI,0.92,PEDI:24 FATU:1 EPRO:1,pedido:39 documentacao:17 email:9,17,0.22,0.785,Importação de Pedidos de Venda (PEDI46) — IMPORTAÇÃO PEDIDO DE VENDA - EDI: FAZER A IMPORTAÇÃO DO NUMERO DO ITEM DO PEDIDO DE…
29,31,"cnpj, pessoa, jurídicas, físicas, moa, cadastro",ADMI,0.96,ADMI:23 PEDI:1,documentacao:11 email:10 pedido:10,7,0.68,0.769,Pessoas Físicas/Jurídicas (ADMI34) — PESSOAS FÍSICAS/JURÍDICAS - AO TENTAR REALIZAR CADASTRO DE PESSOA JURÍDICA PELA APP…
30,30,"encaixotamento, talões, liberação faturamento, faturamento web, talão, aplicação",CFAB,1.0,CFAB:2,pedido:20 documentacao:10,5,0.57,0.807,A impressão do rótulo final está vinculando faturamento de um rótulo a outro que ainda…
31,28,"picking, rótulo, web, encaixotamento, planet, pegada",,,,pedido:17 documentacao:7 email:4,4,0.79,0.821,PICKING WEB - AO GERAR OS RÓTULOS PELO PICKING O MESMO ESTA DUPLICANDO A QUANTIDADE…
32,28,"dígitos, ean, contentor, dimensão, mallmann, eunice",FATU,0.67,FATU:2 EPRO:1,email:14 documentacao:7 pedido:7,6,0.75,0.786,Etiqueta EAN
33,16,"gtin, ean, txt, códigos, arquivo, importador",EPRO,1.0,EPRO:6,pedido:10 documentacao:5 email:1,3,0.38,0.825,"Importador de GTIN/Código Barra EAN (EPRO79) — informações no arquivo, veja o codigo, separar as colunas"
34,29,"labelli, api, job, pegada, integração, null null",PEDI,1.0,PEDI:1,documentacao:18 pedido:9 email:2,13,0.21,0.753,"ADMI171 — cintos, venda interface api, inserir os materiais"
35,23,"raja, paquete, cantidad, medidora, wellour, factor",FATU,0.78,FATU:7 COMP:2,email:15 documentacao:5 pedido:3,7,0.35,0.755,"Wellour - Medidora Bom dia Taironi,"
36,20,"mensagem knd, erro nimo, sequence, mail fornecedor, motivo, incluído",COMP,0.4,COMP:6 MPSP:4 EPRO:2 FATU:2,documentacao:9 pedido:7 email:4,12,0.15,0.792,"Plano de Necessidades de Compras (COMP13) — fazendo a geração, compra e depois, motivo real"
37,18,"está lendo, etiquetas medidora, medidora está, lendo seguintes, adoc etiquetas, assunto pruebas",FATU,1.0,FATU:13,email:16 documentacao:1 pedido:1,6,0.72,0.846,"Medidora (FATU149) — Na BD Pruebas Adoc, Etiquetas da Medidora: não está lendo os seguintes códigos de barras"
38,29,"lote, fracionamento, fracionar, painel, knd, fracionado",,,,pedido:14 documentacao:9 email:6,10,0.41,0.804,Consulta Estoque Produto (ESTO7) — Verificar motivo de erro ao tentar bipar pedido
39,25,"controle lote, lotes, requisições, cri, lançamento produtos, numero",ESTO,0.8,ESTO:4 EPRO:1,pedido:12 documentacao:10 email:3,11,0.32,0.807,"Estruturação de Produto (EPRO15) — dados dos lotes, data de fabricação, lote para produtos"
40,19,"inspeção, laboratorial, inspección, recebimento, recibimiento, lote",CFAB,1.0,CFAB:1,documentacao:9 pedido:7 teste:2 email:1,5,0.53,0.796,IQUA4 - Inspeção de Recebimento
41,106,"custeio, custo, recálculo, tarifas, integrado, mês",CUST,0.64,CUST:23 CFAB:8 ESTO:2 EPRO:2,documentacao:41 pedido:39 email:25 teste:1,25,0.41,0.77,"inventário do mês, estabelecer as tarifas, custos no estoque"
42,48,"produtos fabricação, geração produtos, conta contábil, custeio, mês, estabelecimento",ESTO,1.0,ESTO:33,documentacao:16 email:16 pedido:16,11,0.48,0.773,"Geração Registro Produtos em Fabricação (ESTO41) — produtos em fabricação, sistema vai agregando, materiais foram abastecidos"
