cluster,size,keywords,top_module,module_purity,modules,record_types,documents,largest_doc_share,cohesion,example
105,70,"cotação, compras, fornecedor, oficial, cotações, conversão",COMP,0.88,COMP:53 PEDI:5 MPSP:1 VEND:1,pedido:39 email:15 documentacao:15 teste:1,18,0.34,0.774,"Cotação (COMP14) — quantidade o sistema, unitário do produto, itens de pedidos"
106,58,"apontamento, web, coletor, aplicação, usuário, recurso",ADMI,0.67,ADMI:2 CFAB:1,pedido:38 documentacao:13 email:7,12,0.34,0.789,"Coletores (ADMI84) — página de apontamento, respectivos processos vinculados, questão da rotina"
107,21,"apontamento rótulos, fábrica lançamentos, lançamentos apontamento, rótulos alteração, manufatura chão, chão fábrica",CFAB,0.94,CFAB:16 MPSP:1,pedido:12 documentacao:7 email:2,7,0.33,0.818,Apontamento Rótulos (CFAB65) — APONTAMENTO RÓTULOS + COMPLEMENTO - CFAB65 Rotina
108,288,"abastecimento, requisição, materiais, necessidade, suprimentos planejamento, consumo",ESTO,0.73,ESTO:148 CFAB:20 VEND:10 MPSP:8,pedido:187 documentacao:63 email:38,69,0.16,0.76,Remessa Industrialização (ESTO25) — PLANO ABASTECIMENTO MATERIAIS - REQUISIÇÃO (MRP) - ESTO25 - PROBLEMA EM REQUISIÇÃO
109,16,"planejamento vendas, cota, vendas planejamento, ventas, efetiva, periodicidade",VEND,0.94,VEND:15 EPRO:1,pedido:10 documentacao:4 email:2,3,0.88,0.817,"Planejamento de Vendas (VEND14) — planejamento de vendas, configuração para funcionar, controle cotas planej"
110,69,"necessidades, compras, mrp, estabelecimento, plano, recurso",COMP,0.95,COMP:62 MPSP:3,pedido:51 documentacao:14 email:4,14,0.54,0.807,"Plano de Necessidades de Compras (COMP13) — Cria versão Plano Necessidade de Compras por Plano de Produção, utilizar como base o…"
111,36,"grade marcar, simplificado, venda, grades, atualizar, configuração grade",PEDI,0.62,PEDI:15 EPRO:6 COMP:3,pedido:20 email:8 documentacao:8,12,0.28,0.797,Pedido de Venda (PEDI1) — PEDIDO DE VENDA: ATUALIZAR A ROTINA DE GRADE FECHADA AO ALTERAR O CLIENTE NUM PEDIDO DE…
112,30,"data base, fecha base, plano produção, planejamento, planificación, datas",MPSP,0.89,MPSP:17 COMP:2,email:16 pedido:14,7,0.3,0.794,"Planejamento (MPSP2) — Problemas con tickets necesaides Buenas tardes,"
113,53,"risco, crédito, analise, classe, liberação, análise",VEND,0.77,VEND:27 PEDI:7 CFAB:1,pedido:33 documentacao:15 email:5,19,0.23,0.786,"Relatório Posição de Pedidos (VEND78) — mostra a definição, faturamento fabricação, deixar marcado"
114,16,"unidade medida, primária, qtde, apontamento, metragem, secundaria",CFAB,1.0,CFAB:6,pedido:10 email:3 documentacao:3,8,0.31,0.841,CFAB90 — Cliente: Pieles del Sur Solicitação
115,34,"apontamento, multitarefa, desvio, curtume, parâmetro, manufatura chão",CFAB,1.0,CFAB:27,pedido:34,4,0.62,0.826,CFAB90 — APONTAMENTO MULTITAREFA CURTUME - CFAB90 - CRIAR TRANCA NO APONTAMENTO SE O RECEBIMENTO DE
116,55,"estorno, cancelamento, devolução, fiscal saída, nota, fiscais",FATU,0.56,FATU:15 PEDI:3 CPRO:3 CEXC:2,pedido:37 documentacao:14 email:4,27,0.35,0.796,CPRO4 — NOTA FISCAL DE SAÍDA - CRIAR UMA TRAVA DE CANCELAMENTO E ESTORNO DE NF QUE EXIJA UMA…
117,33,"rendimento, curtume, custo, medição, relatório, listar",CFAB,0.93,CFAB:28 MPSP:2,pedido:27 documentacao:4 email:2,8,0.55,0.821,Relatório de Rendimento com Custo (CFAB85) — RELATÓRIO DE RENDIMENTO COM CUSTO-CFAB85: REVISAR E DESCREVER O FUNCIONAMENTO DE ALGUMAS…
118,15,"custo total, napa asa, asa white, matéria, listar, prima",CFAB,0.79,CFAB:11 COMP:2 ESTO:1,pedido:12 email:2 documentacao:1,5,0.73,0.826,"Relatório de Rendimento com Custo (CFAB85) — custo fixo, napa asa, geração e abastecimento"
119,19,"lote mínimo, mínimo compra, compras, dias, data compra, qtde",COMP,0.88,COMP:14 EPRO:2,documentacao:15 pedido:4,8,0.32,0.813,"Estruturação de Produto (EPRO15) — realizados por roberto, produtos para compras, olhado na geração"
120,35,"reposição, ponto, estoque segurança, consumo médio, médio diário, necessidade",COMP,1.0,COMP:6,documentacao:20 pedido:9 email:5 teste:1,5,0.8,0.804,"Plano de Necessidades de Compra Agrupado (COMP75) — atualizar a data, ponto de reposição, entendi o motivo"
121,26,"exportação, packing, list, processo, frete, comércio",CEXT,1.0,CEXT:3,pedido:14 documentacao:11 email:1,5,0.38,0.786,"ADMI31 — ajustar a geração, faturamento de exportação, revisar o cadastro"
122,109,"emissão ordem, chão, ordem fabricação, fábrica relatórios, relatórios produção, produção emissão",CFAB,0.82,CFAB:41 MPSP:5 EPRO:1 ESTO:1,pedido:92 documentacao:13 email:4,39,0.18,0.792,"CFAB155 — passando a imprimir, versão de impressão, emissão ordem"
123,52,"cartão, componente, emissão, relatórios produção, fábrica relatórios, sola",CFAB,0.78,CFAB:7 COMP:2,pedido:35 email:9 documentacao:8,10,0.75,0.817,"CFAB116 — cartão componente, quantidade de componentes, qtd comp dependente"
124,19,"operações, propriedade, ficha, tempo padrão, processos, capacidade recursos",PREC,1.0,PREC:10,pedido:16 documentacao:3,8,0.26,0.798,"PREC27 — CADASTRO DE OPERAÇÕES, DE CRP: CRIAR CAMPOS NOVOS QUE SERÃO UTILIZADOS POR SUA ROTINA…"
125,17,"faturamento, expedição, rotulo, faturar, volumes, venda liberação",PEDI,1.0,PEDI:2,documentacao:12 email:4 pedido:1,10,0.24,0.825,"Liberação Pedidos Faturamento (PEDI4) — manualmente a qtde, solicitando um encaixotamento, sempre de item"
126,110,"faturamento, liberação, pedidos, venda, faturar, marcio schneider",PEDI,0.8,PEDI:61 CEXC:4 VEND:4 CFAB:3,pedido:56 documentacao:41 email:13,27,0.27,0.793,"Pedido de Venda (PEDI1) — campos: Estab Faturamento, Situação, Liberação"
127,16,"setup, tempo, planejamento, cores, minutos, mestre produção",MPSP,0.67,MPSP:4 PREC:2,pedido:12 documentacao:3 teste:1,5,0.5,0.831,"Valores possíveis (PREC7) — PLANEJAMENTO - NO PLANEJAMENTO (MPSP2), PASSAR A CALCULAR O TEMPO DE SETUP POR TAMANHO NA…"
128,20,"consignação, operação, classe, localização, saída, retorno",FATU,0.67,FATU:2 ESTO:1,documentacao:13 pedido:5 email:2,10,0.4,0.829,"Relatório Posição Plano de Produção (CFAB24) — efetua a efetiva, remessa oper, configuração da operação"
129,42,"entrega, categoria, venda, distribuição pedidos, alterar, clientes",PEDI,0.78,PEDI:28 ADMI:6 VEND:1 COMP:1,pedido:36 documentacao:4 email:2,19,0.4,0.795,"Pedido de Venda (PEDI1) — alterar a categoria, permite alteracao, parametro para permitir"
130,32,"carteira, distribuição pedidos, pedidos relatórios, relatório pronto, pronto expedição, vendas distribuição",PEDI,0.65,PEDI:20 VEND:11,pedido:28 documentacao:4,12,0.25,0.806,Relatório Posição de Pedidos (VEND78) — RELATÓRIO POSIÇÃO DE PEDIDOS - AJUSTAR FILTRO PEDIDO CLIENTE PARA PERMITIR INFORMAR…
131,86,"android, app, ivendre, preço, aprovação, frigolaste",PEDI,0.43,PEDI:3 ADMI:3 VEND:1,pedido:65 documentacao:12 email:9,11,0.84,0.796,IVENDRE - APP ANDROID - NÃO CONCLUI ENVIO DE PEDIDOS Rotina Ivendre Ivendre - Android…
132,72,"eficiência, minutos, turno, recursos, eficiencia, planejamento",MPSP,0.65,MPSP:28 PREC:14 CFAB:1,pedido:37 email:19 documentacao:16,15,0.39,0.764,Relatório Eficiência (PREC18) — EFICIENCIA: NÃO EFETUA O CALCULO DA EFICIENCIA QUANDO O RECURSO TEM VINCULADO 2 TURNOS…
133,69,"semi, ofs, acabado, fabricação, plano, produção",MPSP,0.73,MPSP:40 EPRO:7 PEDI:5 COMP:2,pedido:35 documentacao:25 email:8 teste:1,19,0.35,0.783,Plano de Produção (MPSP5) — Joyce.Attainjetados 27/10/2025 - 20:47:28 Boa noite!
134,15,"quantidade peças, ivendre, bonés, venda, entrega, estoque",PEDI,1.0,PEDI:5,pedido:8 documentacao:7,3,0.47,0.81,"zeros no totalizador, utilizada para cadastro, ivendre e estoque"
135,35,"lote, balanceado, cálculo, quantidade, musical, máximo",MPSP,0.81,MPSP:26 EPRO:6,pedido:28 email:6 documentacao:1,3,0.74,0.835,Plano de Produção (MPSP5) — PLANO DE PRODUÇÃO - NOVA MANEIRA DE GERAR A OF
136,27,"planejamento vendas, vendas planejamento, vendas frigorífico, distribuição vendas, centro distribuição, frigolaste",VEND,0.79,VEND:15 PEDI:4,pedido:20 documentacao:6 email:1,6,0.56,0.837,Planejamento de Vendas Frigorifico (VEND122) — Rotina Vendas e distribuição Vendas Planejamento de Vendas
137,26,"flex, saldo, representantes controle, pedidos representantes, vendas, preço",VEND,1.0,VEND:25,pedido:16 documentacao:8 email:2,3,0.88,0.832,"Controle de Flexibilidade de Vendas (VEND113) — controle de flexibilidade, distribuição pedidos representantes, gera o saldo"
138,68,"ivendre, semana, carrinhos, pronta entrega, representante, vendedor",PEDI,1.0,PEDI:2,pedido:47 documentacao:20 email:1,6,0.65,0.785,IVENDRE NOVO - DESENVOLVER B2B DE VENDAS
139,26,"grafdil, carrinho, pessoa, franquia, representante, aqui",ADMI,0.86,ADMI:6 EPRO:1,documentacao:19 pedido:7,11,0.35,0.771,"Administração Cadastros Parâmetros (ADMI8) — nome do arquivo, for definido, vinculo com grade"
140,58,"recurso, planejamento, meta, base, configuração, processo",MPSP,0.67,MPSP:30 PREC:14 CFAB:1,pedido:36 documentacao:16 email:6,15,0.48,0.793,Planejamento (MPSP2) — PLANEJAMENTO: CRIAR CAMPO DE META NO PROGRAMA CONFIGURAÇÃO RECURSO BASE E SUGERIR NO…
141,25,"tinta, formula, acabamento, pesagem, consumo, materiais",,,,documentacao:17 pedido:5 email:3,9,0.36,0.805,"CFAB11 — tive que vincular, formulas de acabamento, gerar o plano"
142,21,"impressora, impressão, monitor, printer, virtual, seg",FATU,1.0,FATU:9,documentacao:17 pedido:3 email:1,10,0.33,0.803,"Administração Cadastros Parâmetros (ADMI8) — fixado uma impressora, efetuado a impressão, direto sem definir"
143,48,"desconto, comissão, preços, regra, representante, concessão",PEDI,0.64,PEDI:7 VEND:2 ADMI:2,pedido:22 documentacao:21 email:5,17,0.19,0.798,"campos: Regra Preço, Preço Final, Cond Pagto"
144,36,"retorno, industrialização, deposito, insumos aplicados, qtde, faturamento notas",FATU,0.91,FATU:30 ESTO:1 RECE:1 PEDI:1,pedido:28 documentacao:5 email:2 teste:1,9,0.58,0.819,Disponível (FATU110) — RETORNO DE INDUSTRIALIZAÇÃO DEPOSITO DISPONÍVEL: PASSAR A SUGERIR A QUANTIDADE DE RETORNO…
145,26,"triangular, industrialização, beneficiamento, recebimento, remessa, industrializador",COMP,0.67,COMP:8 FATU:2 RECE:2,documentacao:14 pedido:9 email:3,16,0.15,0.799,"COMP25 — exigir remessa industrialização, blue em terceiros, controle de wet"
146,45,"proposta, ivendre, representante, licenciado, entrega, transportadoras",,,,pedido:32 email:7 documentacao:6,4,0.91,0.8,IVENDRE - CADASTRO CLINTE PRAÇA DE PAGAMENTO E LOCAL DE ENTREGA
147,26,"ivendre, fotos, ios, nuvem, imagens, manual",,,,documentacao:21 email:3 pedido:2,9,0.23,0.806,"Agendador de Tarefas (ADMI63) — Lista de preço aparece no iVendre, porém os produtos, não. Por quê?"
148,43,"fiscais, nota, fiscal, saída, distribuição faturamento, regra tributação",FATU,0.57,FATU:8 EPRO:2 RECE:2 ADMI:2,pedido:33 documentacao:9 email:1,21,0.33,0.797,"regra de tributação, nota para melhorar, coluna ao item"
149,22,"industrialização, retorno, remessa, suprimentos recebimento, recebimento notas, operação",RECE,1.0,RECE:20,pedido:18 documentacao:3 teste:1,6,0.45,0.83,"Recebimentos (RECE32) — PROGRAMA ""RETORNOS DE REMESSA-RECE7"": PASSAR A SUGERIR AS OPERAÇÕES PARA OS ITENS DA…"
150,98,"remessa, terceirização, industrialização, retorno, abastecimento materiais, plano abastecimento",TERC,0.43,TERC:15 ESTO:10 RECE:4 COMP:3,pedido:42 documentacao:39 email:16 teste:1,36,0.24,0.774,"CFAB11 — produção dos planos, operação de mão, sistema gerará"
151,39,"fabricação geração, plano mestre, mestre produção, geração abastecimento, baixado, mps plano",MPSP,0.7,MPSP:7 CFAB:3,pedido:35 documentacao:2 email:2,9,0.36,0.831,"geração e abastecimento, mestre de produção, mostrando a qtde"
152,20,"mestre produção, plano mestre, forecast, produção plano, projeção, manufatura plano",MPSP,0.94,MPSP:16 ESTO:1,pedido:19 documentacao:1,4,0.45,0.859,"Plano de Produção (MPSP5) — plano de projeção, tenham ou tenham, tamanhos em comum"
153,59,"plano mestre, mestre produção, relatório plano, produção plano, manufatura plano, plano produto",MPSP,1.0,MPSP:54,pedido:57 documentacao:2,18,0.22,0.84,MPSP74 + MPSP75 — RELATÓRIO PLANO MESTRE DE PRODUÇÃO POR PLANO/PRODUTO: ADEQUAR SEQUENCIA DE DADOS LISTADOS…
154,41,"fornecedor, entrada, ontem, chave, usuário digita, momento conta",FATU,0.56,FATU:5 ADMI:3 ESTO:1,email:21 documentacao:15 pedido:5,11,0.39,0.776,"Subcontratadas (RECE34) — Vocês tem alguma validação para esta situação, envolvendo NF de Entrada gerada pelo…"
155,34,"smart, sefaz, nfs, rejeicao, cancelar, autorizada",FATU,0.96,FATU:25 PEDI:1,documentacao:23 email:11,6,0.38,0.779,"Monitor Notas Fiscais Saída (FATU61) — Caso na Smart em 180621, visto junto com Aline"
156,28,"entrada, nota, fiscal, nvl, data, recebimento",FATU,0.5,FATU:4 ADMI:2 RECE:1 COMP:1,pedido:26 documentacao:2,13,0.5,0.839,Consulta Estoque Produto (ESTO7) — Verificar erro de data ao alterar e confirmar nota de entrada que já havia sido confirmada
157,32,"importação notas, fiscais importação, entrada xml, notas fiscais, fiscais entrada, recebimento notas",FATU,0.97,FATU:29 COMP:1,pedido:24 documentacao:8,11,0.53,0.822,CFOP ATRIBUÍDA ESTÁ INCORRETA Rotina (FATU124) — IMPORTAÇÃO DE NOTAS FISCAIS DE ENTRADA POR XML - FATU124 - ARQUIVOS NÃO ESTÃO SENDO…
158,52,"monitor, fiscais, notas, danfe, eletrônica, carta correção",FATU,0.94,FATU:46 ADMI:2 PEDI:1,pedido:33 documentacao:10 email:9,10,0.63,0.779,"Monitor Notas Fiscais Saída (FATU61) — carta de correção, notas fiscais eletrônica, realizar a ordenação"
159,34,"aline, sefaz, monitor, schneider, marcio, kunden",FATU,1.0,FATU:31,documentacao:19 email:15,2,0.91,0.742,"Monitor Notas Fiscais Saída (FATU61) — investigar um assunto, sobre o Monitor na GS (e parece que ocorre a mesma coisa com outros"
